#Name, Date, RaDeg, DecDeg, AlertMag, HistoricMag, HistoricStdDev, Class, Published, Comment
Gaia18cqt,2018-09-15 12:31:18,65.17195,-14.78128,17.41,,,"SN Ia",2018-09-17 07:36:38,"confirmed SN Ia in IC 367"
Gaia18cqs,2018-09-15 06:31:27,66.26255,-14.61331,18.78,,,"unknown",2018-09-17 07:35:53,"candidate SN in outskirts of edge-on galaxy 2MASS J04250249-1436597"
Gaia18cqr,2018-09-15 06:19:12,57.17013,-4.54070,18.10,,,"unknown",2018-09-17 07:34:25,"blue transient on top of a faint point source, aka ATLAS18vhu"
Gaia18cqq,2018-09-13 11:00:46,243.31295,3.20743,18.79,19.14,0.05,"unknown",2018-09-16 23:19:12,"slowly rising Gaia and GALEX source brightens by 0.4 mag"
Gaia18cqp,2018-09-13 07:22:49,129.33623,-42.42047,18.32,19.78,0.38,"unknown",2018-09-15 17:02:41,"Gaia source brightens by 2.5 mags over almost 3 years"
Gaia18cqo,2018-09-13 23:33:28,24.40507,30.04684,15.46,16.85,0.55,"CV",2018-09-15 17:01:36,"known CV TX Tri brightens by 1.7 mags"
Gaia18cqn,2018-09-14 09:33:21,253.21427,17.44749,16.59,17.89,0.45,"unknown",2018-09-15 17:00:36,"centre of galaxy CGCG 110-015 NED01 brightens by 1.6 mag over 8 months"
Gaia18cqm,2018-09-13 12:30:54,72.18039,-12.05158,18.58,18.99,0.07,"unknown",2018-09-15 16:59:42,"Gaia source brightens by 0.4 mag over 20 months, coincident with GALEXASC J044843.31-120306.5"
Gaia18cql,2018-09-14 06:28:20,67.38019,-11.03100,17.65,,,"SN Ia",2018-09-15 16:58:37,"confirmed SN Ia aka SN 2018fvj"
Gaia18cqk,2018-09-14 01:03:05,100.86947,-35.76501,18.75,,,"unknown",2018-09-15 16:57:40,"candidate SN near galaxy ESO 366-12"
Gaia18cqj,2018-09-01 15:17:30,149.12297,-46.62729,18.97,,,"unknown",2018-09-15 16:56:58,"blue transient near Galactic plane"
Gaia18cqi,2018-08-17 08:32:05,77.43223,-16.49482,18.15,,,"unknown",2018-09-15 16:55:56,"declining transient near extended blue PanSTARRS source"
Gaia18cqh,2018-09-13 12:14:01,59.17704,1.35356,18.29,,,"unknown",2018-09-15 16:54:58,"candidate SN near extended PanSTARRS source"
Gaia18cqg,2018-09-13 07:26:10,134.00747,-43.50019,18.46,,,"unknown",2018-09-15 16:54:10,"apparently hostless Galactic plane transient"
Gaia18cqf,2018-09-13 12:04:29,51.81561,8.71087,18.25,,,"SN Ia",2018-09-15 16:53:39,"candidate SN near galaxy shaped DSS source"
Gaia18cqe,2018-09-12 21:00:45,236.08188,-6.82093,16.40,17.60,0.43,"QSO",2018-09-15 16:52:49,"long-term increase of >1.5 mag in known blazar"
Gaia18cqd,2018-09-13 00:00:51,49.92490,11.50455,14.85,16.55,0.02,"unknown",2018-09-15 16:51:46,"fast flare on red star"
Gaia18cqc,2018-08-08 09:29:16,229.86926,-9.88054,16.24,,,"SN Ia",2018-09-15 16:51:06,"confirmed SN Ia aka SN2018enc"
Gaia18cqb,2018-09-13 00:51:56,93.19956,-26.29054,18.86,,,"unknown",2018-09-15 16:50:11,"candidate SN near galaxy LEDA 18630"
Gaia18cqa,2018-09-12 14:44:19,224.91247,-17.26911,18.18,19.55,0.50,"unknown",2018-09-15 16:49:17,"erratic variability and almost 3 mag rise in blazar candidate CSS120527:145939-171609"
Gaia18cpz,2018-09-12 07:20:32,129.11882,-39.21630,18.69,19.10,0.07,"unknown",2018-09-15 16:48:33,"0.4 mag rise in red Gaia source"
Gaia18cpy,2018-09-12 09:08:35,242.51809,-2.81891,18.02,,,"CV",2018-09-15 16:47:43,"confirmed CV aka ASASSN-18th"
Gaia18cpx,2018-09-12 00:59:19,104.61471,-28.76351,15.67,,,"SN Ia",2018-09-15 16:46:56,"candidate SN near galaxy ESO 427-22; aka ASASSN-18vm"
Gaia18cpw,2018-09-12 06:50:07,94.62234,-23.22258,18.41,,,"unknown",2018-09-15 16:46:15,"candidate SN near 2MASX J06182987-2313269; aka ATLAS18uwc"
Gaia18cpv,2018-08-22 06:50:24,96.15827,-23.73307,16.71,,,"SN Ia",2018-09-15 16:43:57,"confirmed SN Ia aka SN2018fhx"
Gaia18cpu,2018-09-11 09:50:38,274.85176,19.29713,18.51,20.47,0.78,"unknown",2018-09-15 15:51:44,"blue transient near Galactic plane, with previous outburst in Gaia lightcurve; aka ASASSN-17cp"
Gaia18cpt,2018-09-11 06:26:32,77.28458,-4.71270,19.12,20.33,0.36,"unknown",2018-09-15 15:50:58,"faint Gaia source brightens by 1 mag"
Gaia18cps,2018-09-11 16:15:09,295.21138,32.25269,18.01,,,"unknown",2018-09-15 15:50:15,"blue hostless transient in the Galactic plane"
Gaia18cpr,2018-09-11 15:14:10,248.29740,-1.19209,17.44,,,"unknown",2018-09-15 15:49:34,"outburst on candidate CV CSS100601:163311-011132"
Gaia18cpq,2018-09-11 15:52:48,275.78860,21.24900,18.40,,,"SN II",2018-09-15 15:48:49,"confirmed SN II aka SN2018dzc"
Gaia18cpp,2018-09-11 09:57:28,280.28527,22.89467,18.48,,,"unknown",2018-09-15 15:48:00,"declining blue transient near extended (?) PanSTARRS source"
Gaia18cpo,2018-09-10 23:54:36,290.34585,27.15599,18.54,,,"unknown",2018-09-15 15:47:12,"blue transient near very faint PanSTARRS source"
Gaia18cpn,2018-09-11 03:49:30,274.74191,17.88500,16.90,,,"unknown",2018-09-15 15:46:36,"blue transient on very faint PanSTARRS source, close to ASASSN-18vd"
Gaia18cpm,2018-09-11 06:36:07,85.44167,-11.71036,18.99,,,"unknown",2018-09-15 15:45:42,"candidate SN 23 arcsec from galaxy 2MASX J05414444-1142365"
Gaia18cpl,2018-09-10 22:13:32,213.46805,-28.88267,17.69,,,"unknown",2018-09-15 15:45:03,"candidate SN near extended PanSTARRS source"
Gaia18cpk,2018-09-01 18:17:41,320.22694,38.96078,19.61,,,"CV",2018-09-15 15:41:24,"fast rising, blue, hostless Galactic plane transient"
Gaia18cpj,2018-09-10 06:59:07,111.06038,-24.33598,15.63,16.70,0.41,"unknown",2018-09-14 10:39:45,"1.6 mag rise over 10 months on Gaia source, aka ASASSN-V J072414.48-242009.7"
Gaia18cpi,2018-09-10 05:50:53,289.02932,23.27562,17.79,20.27,0.18,"unknown",2018-09-13 12:20:16,"Gaia source brightens by ~2 mags"
Gaia18cph,2018-09-10 09:36:05,267.05977,8.17940,18.23,20.43,0.36,"unknown",2018-09-13 12:19:39,"Gaia source brightens by ~2 mags"
Gaia18cpg,2018-09-10 05:15:29,262.52688,3.63880,17.00,19.20,0.71,"CV",2018-09-13 12:18:43,"brightening in Gaia source coincident with CV 1RXS J173006.4+033813 aka V2951 Oph"
Gaia18cpf,2018-09-10 10:28:58,227.95625,-22.06396,18.89,20.62,0.16,"unknown",2018-09-13 12:18:04,"Gaia source brightens by ~1mag"
Gaia18cpe,2018-09-10 12:19:52,316.57471,36.19253,18.04,20.08,0.73,"unknown",2018-09-13 12:17:08,"Gaia source brightens by ~2mags, previous outburst in lightcurve, candidate CV"
Gaia18cpd,2018-09-09 22:17:33,301.45445,28.84617,20.00,18.97,0.17,"unknown",2018-09-13 12:16:23,"long term decline of ~1 mag in Gaia source"
Gaia18cpc,2018-09-10 09:56:22,196.44845,-36.05031,16.99,19.98,0.29,"unknown",2018-09-13 12:15:32,"candidate CV SSS120814:130548-360301 brightens by ~3 mags"
Gaia18cpb,2018-09-09 22:13:57,298.16966,27.10213,19.19,20.35,0.14,"unknown",2018-09-13 12:14:37,"variable Gaia source brightens by ~1 mag"
Gaia18cpa,2018-09-09 23:28:12,26.01852,34.11792,19.08,19.29,0.03,"unknown",2018-09-13 12:14:02,"Gaia source brightens by ~0.4 mags"
Gaia18coz,2018-09-10 22:18:48,300.55973,31.60965,16.20,19.40,1.40,"CV",2018-09-13 12:12:23,"Gaia source brightens by ~4 mags, previous outburst in lightcurve, coincident with CV ASASSN-17eo"
Gaia18coy,2018-09-10 01:21:35,33.59978,30.81192,18.34,,,"unknown",2018-09-13 10:46:07,"candidate SN, blue transient on PanSTARRS galaxy"
Gaia18cox,2018-09-09 12:27:54,85.43330,-1.97933,17.06,18.39,0.54,"YSO",2018-09-12 13:05:00,"long-term increase in brighteness (~2 mags) in YSO"
Gaia18cow,2018-09-09 11:29:16,28.33955,34.14894,16.81,19.14,1.11,"unknown",2018-09-12 13:03:11,"Gaia source brightens by more than 3 mags, previous outburst in lightcurve, candidate CV"
Gaia18cov,2018-09-09 18:55:01,108.61596,-20.98632,18.02,18.52,0.06,"unknown",2018-09-12 12:52:24,"Gaia source near Galactic plane brightens by ~0.5 mags"
Gaia18cou,2018-09-09 18:21:09,78.79342,2.43565,18.42,19.05,0.12,"unknown",2018-09-12 12:49:33,"Gaia source brightens by ~0.6 mags"
Gaia18cot,2018-09-09 13:33:53,152.28204,-38.39497,18.86,,,"unknown",2018-09-12 09:04:32,"new blue transient 8 arcsec away from the ESO 316- G 033 galaxy located in a pair of galaxies"
Gaia18cos,2018-09-09 23:40:00,39.46837,28.80250,15.36,16.99,0.55,"unknown",2018-09-12 09:02:40,"Long term brightness increase on blazar CSS111018:023752+284809"
Gaia18cor,2018-09-08 06:13:10,313.15834,30.55300,17.41,,,"unknown",2018-09-12 07:39:49,"blue transient on very PanSTARRS source near Galactic plane, candidate CV"
Gaia18coq,2018-09-08 15:21:45,262.16701,-5.27916,18.46,20.37,0.35,"unknown",2018-09-11 21:10:47,"Gaia source brightens by ~2 mags"
Gaia18cop,2018-08-04 09:11:23,222.32501,-30.28957,18.55,,,"SN II",2018-09-11 21:10:06,"confirmed SN II, aka SN 2018dza"
Gaia18coo,2018-09-08 09:49:46,191.13275,-39.87635,18.91,,,"unknown",2018-09-11 21:09:02,"blue transient coincident with location of candidate CV MASTER J124431.93-395236.2"
Gaia18con,2018-09-08 23:13:18,9.12062,39.17036,18.39,,,"unknown",2018-09-11 21:07:15,"blue transient on a g=24.8 SDSS source. Candidate CV"
Gaia18com,2018-09-08 00:05:26,71.74575,17.04381,13.84,12.62,0.20,"YSO",2018-09-11 14:32:41,"YSO Haro 6-37 A dips by 1.3 mag"
Gaia18col,2018-09-07 20:41:06,233.06032,-29.77629,15.62,17.45,0.53,"CV",2018-09-11 14:28:53,"dwarf nova, aka ASASSN-15bi brightens by >1 mag"
Gaia18cok,2018-09-07 19:05:16,124.16838,-24.35183,18.06,19.56,0.47,"QSO",2018-09-11 09:32:16,"QSO 2FGL J0816.7-2420 brightens by 3 mags over several years"
Gaia18coj,2018-09-07 21:37:44,275.39439,2.05194,14.24,16.39,0.10,"unknown",2018-09-11 09:31:06,"star brightens by more than 2 mag, probable CV, aka ASASSN-15kd"
Gaia18coi,2018-09-07 22:54:29,345.46979,39.83719,18.97,20.13,0.39,"unknown",2018-09-11 09:29:28,"faint Gaia source brightens erratically by almost 2 mag over 1 year"
Gaia18coh,2018-09-07 12:17:09,318.20243,31.95557,18.63,19.97,0.42,"unknown",2018-09-11 09:27:59,"candidate CV, >1.5 mag brightening on blue Gaia/PanSTARRS source"
Gaia18cog,2018-09-07 12:28:28,93.33281,1.22280,17.37,,,"unknown",2018-09-11 09:27:01,"blue transient near very faint PanSTARRS source at low Galactic latitude, candidate CV"
Gaia18cof,2018-09-07 17:12:55,11.08255,41.49051,17.70,,,"Nova",2018-09-11 09:25:54,"confirmed Nova in M31"
Gaia18coe,2018-09-07 06:59:01,11.31609,42.17426,18.73,,,"Nova",2018-09-11 09:25:03,"confirmed nova in outskirts of M31, aka PNV J00451587+4210269"
Gaia18cod,2018-09-07 10:56:53,349.21594,41.05929,18.93,,,"SN Ia",2018-09-11 09:24:03,"confirmed SN Ia near galaxy 2MASX J23165181+4103374, aka SN 2018evd"
Gaia18coc,2018-09-07 08:25:23,218.57612,-37.47908,17.97,,,"unknown",2018-09-11 09:23:15,"candidate SN near galaxy ESO 385-45, aka ATLAS18rng"
Gaia18cob,2018-09-04 07:51:04,177.33567,-48.72728,18.97,,,"unknown",2018-09-11 09:22:02,"candidate SN near galaxy 2MASX J11492103-4843387"
Gaia18coa,2018-09-06 22:20:59,228.97232,-35.26202,16.17,19.75,0.76,"unknown",2018-09-10 10:05:32,"blue outburst in blue Gaia source, aka ASASSN-18uf"
Gaia18cnz,2018-09-06 11:28:14,281.78935,1.46838,16.16,17.43,0.58,"unknown",2018-09-10 10:04:58,"Galactic plane source brightens by almost 2 mags over 10 months"
Gaia18cny,2018-09-06 09:11:10,261.47968,-18.00137,18.28,20.25,0.14,"unknown",2018-09-10 10:04:16,"Galactic plane source brightens by 2 mag, candidate microlensing event"
Gaia18cnx,2018-09-05 12:09:38,85.73212,18.92895,18.42,19.49,0.04,"unknown",2018-09-10 10:03:38,"1 mag brightening in red Galactic plane source"
Gaia18cnw,2018-09-06 12:41:56,107.80164,-7.12855,18.42,19.35,0.04,"unknown",2018-09-10 10:03:06,"0.75 mag brightening in Galactic plane source"
Gaia18cnv,2018-09-05 23:29:55,40.11980,42.35524,18.72,,,"unknown",2018-09-10 10:02:35,"transient near Galactic plane, aka ATLAS18ubc"
Gaia18cnu,2018-09-02 13:03:28,128.68086,-24.76932,18.76,,,"unknown",2018-09-10 10:01:56,"hostless blue transient at low Galactic latitude"
Gaia18cnt,2018-09-06 08:22:26,217.27114,-41.35481,18.24,,,"unknown",2018-09-10 10:01:24,"candidate SN near galaxy 2MASX J14290608-4121374"
Gaia18cns,2018-09-05 22:07:40,216.59906,-43.04688,18.93,,,"unknown",2018-09-10 09:59:45,"blue transient near faint DSS source"
Gaia18cnr,2018-09-04 17:08:07,273.54126,-15.26001,17.93,18.21,0.05,"unknown",2018-09-10 09:06:34,"red star brightens by 0.3 mag"
Gaia18cnq,2018-09-04 00:39:05,112.17885,-3.64267,18.45,19.80,0.14,"unknown",2018-09-10 09:04:27,"1.5 mag brightening of Gaia source near the Galactic plane"
Gaia18cnp,2018-09-05 11:22:42,31.25163,46.09389,15.39,17.28,0.46,"unknown",2018-09-10 09:03:50,"Outburst of CV candidate ASASSN-14gl"
Gaia18cno,2018-09-05 23:41:18,291.62717,9.28505,17.59,19.18,0.21,"unknown",2018-09-10 09:03:07,"1.5 mag outburst on Gaia source near the Galactic plane"
Gaia18cnn,2018-09-05 15:40:03,180.71462,-45.68794,15.35,19.09,0.28,"CV",2018-09-10 09:01:38,"Outburst of known CV MASTER J120251.56-454116.7"
Gaia18cnm,2018-09-05 21:30:11,275.87885,-7.33271,17.89,18.51,0.07,"unknown",2018-09-10 09:00:55,"red Galactic plane star brightens by 0.6 mag. Candidate microlens."
Gaia18cnl,2018-09-04 02:56:27,257.79999,-33.14288,18.46,,,"unknown",2018-09-10 09:00:01,"blueish Galactic plane transient"
Gaia18cnk,2018-09-03 11:21:11,35.73326,52.69523,18.95,,,"unknown",2018-09-10 08:59:26,"apparently hostless blue transient"
Gaia18cnj,2018-09-05 17:30:25,41.49723,42.54154,17.68,,,"unknown",2018-09-10 08:58:51,"candidate SN near 2MASX J02455975+4232318; aka AT2018fyg"
Gaia18cni,2018-09-05 06:11:55,88.67394,17.58358,18.71,,,"unknown",2018-09-10 08:58:11,"candidate SN near galaxy 2MASX J05544174+1735004"
Gaia18cnh,2018-09-05 05:04:08,2.36064,47.35407,17.65,,,"SN II",2018-09-10 08:57:24,"confirmed SN II"
Gaia18cng,2018-09-04 03:59:02,297.44330,11.07235,18.59,,,"unknown",2018-09-10 08:55:49,"g=24 SDSS source brightens by 5.5 mag. Candidate CV"
Gaia18cnf,2018-09-05 01:54:50,182.49038,-47.59895,18.42,,,"unknown",2018-09-10 08:53:39,"blue hostless transient"
Gaia18cne,2018-09-03 07:24:25,145.39575,-38.83486,18.07,18.71,0.04,"unknown",2018-09-08 03:43:36,"blue star brightens by 0.5 mag, close to GALEXASC J094135.00-385004.0"
Gaia18cnd,2018-09-04 06:22:36,100.27139,9.89670,17.56,18.77,0.52,"YSO",2018-09-07 22:17:46,"YSO brightens by 1.5 mag over 5 months"
Gaia18cnc,2018-09-02 23:36:02,62.38696,48.02058,18.85,20.04,0.27,"unknown",2018-09-07 22:16:48,"erratically variable Galactic plane source brightens by 1 mag"
Gaia18cnb,2018-09-03 09:00:30,263.56551,-32.43664,18.51,20.07,0.67,"unknown",2018-09-07 22:15:42,"1.8 mag brightening of faint blue source in the Galactic Plane, candidate CV"
Gaia18cna,2018-09-03 08:57:29,261.16868,-34.29187,18.77,19.94,0.31,"unknown",2018-09-07 22:14:15,"1 mag brightening of variable red source in star-forming complex NGC 6357"
Gaia18cmz,2018-09-03 09:08:21,268.90511,-26.94709,18.84,,,"unknown",2018-09-07 21:43:34,"Galactic plane transient"
Gaia18cmy,2018-09-05 00:09:04,87.47860,20.29436,15.78,17.75,0.43,"unknown",2018-09-07 21:40:28,"2 mag brightening of red Gaia source"
Gaia18cmx,2018-09-04 10:44:53,257.98016,-30.80457,16.68,17.83,0.20,"unknown",2018-09-07 21:39:36,"slow 1 mag rise on red Gaia source"
Gaia18cmw,2018-08-03 01:40:32,45.32083,44.05013,17.62,,,"unknown",2018-09-07 21:38:41,"candidate SN near galaxy LEDA 2235387 aka ATLAS18uaf"
Gaia18cmv,2018-09-03 11:18:23,283.05953,-9.88167,18.81,,,"unknown",2018-09-07 21:36:58,"Galactic plane transient"
Gaia18cmu,2018-09-03 19:56:52,185.33440,-51.58600,18.57,,,"unknown",2018-09-07 21:35:24,"apparently hostless transient"
Gaia18cmt,2018-09-04 01:57:44,186.60280,-51.03312,15.80,,,"unknown",2018-09-06 10:44:35,"blue transient"
Gaia18cms,2018-09-02 16:26:48,317.40326,33.48320,18.54,,,"SLSN",2018-09-06 10:43:52,"confirmed SLSN-I aka ZTF18abmasep, SN 2018fcg"
Gaia18cmr,2018-09-02 21:03:35,267.36585,-31.28331,18.20,19.25,0.41,"unknown",2018-09-06 10:42:51,"brightening of candidate YSO 2MASS J17492780-3116598"
Gaia18cmq,2018-08-22 11:08:45,283.03345,-13.36522,17.53,,,"unknown",2018-09-06 10:41:02,"blue hostless transient in the Galactic plane, fading"
Gaia18cmp,2018-09-01 20:29:29,238.97560,-54.63515,17.75,18.75,0.32,"unknown",2018-09-06 07:39:53,"1.2 mag brightening in star near star forming region"
Gaia18cmo,2018-09-02 04:57:48,274.50297,-26.80970,17.62,18.86,0.41,"unknown",2018-09-06 07:38:55,"Erratic variable blue Galactic plane star brightens by 1 mag, candidate CV"
Gaia18cmn,2018-09-02 16:37:19,258.07919,-40.04763,15.51,15.70,0.03,"unknown",2018-09-06 07:36:54,"0.2 mag brightening in 15th mag Galactic plane source"
Gaia18cmm,2018-09-02 09:28:17,162.92217,-50.80830,15.74,18.05,1.17,"CV",2018-09-05 18:11:03,"CV in 1.5 mag outburst, aka ASASSN-16nj"
Gaia18cml,2018-09-02 15:01:08,266.53593,-33.50756,16.44,17.13,0.09,"unknown",2018-09-05 17:11:39,"0.6 mag brightening in Galactic bulge source, aka OGLE 2018-BLG-1620"
Gaia18cmk,2018-09-01 22:12:21,307.14938,22.83047,17.53,18.48,0.03,"unknown",2018-09-05 17:09:36,"Gaia source near Galactic plane brightens by almost 1 mag"
Gaia18cmj,2018-09-02 05:29:21,291.23416,-1.95534,14.90,17.32,1.25,"unknown",2018-09-05 14:24:06,"source coincident with ASASSN-16ce brightens by >3 mags, previous outbursts, candidate CV"
Gaia18cmi,2018-09-02 12:43:08,116.64626,-7.77613,15.38,18.38,0.31,"unknown",2018-09-05 14:23:03,"Gaia source brightens by ~3 mags near Galactic plane, candidate CV, near TCP J07463511-0746335"
Gaia18cmh,2018-09-01 22:48:20,339.07979,51.20508,17.66,19.51,0.53,"unknown",2018-09-05 14:21:22,"Gaia source near Galactic plane brightens by ~2 mags, previous outbursts in lightcurve"
Gaia18cmg,2018-08-17 11:57:21,95.79156,24.89424,19.03,,,"unknown",2018-09-05 12:37:11,"Hostless blue transient at low Galactic latitude"
Gaia18cmf,2018-09-02 04:14:52,308.74682,24.60575,17.30,,,"CV",2018-09-05 12:35:37,"confirmed CV, aka ZTF18abnyktn and ASASSN-18te"
Gaia18cme,2018-08-31 08:27:37,243.34552,-60.32777,18.09,,,"unknown",2018-09-04 10:10:40,"blue hostless transient near Galactic plane"
Gaia18cmd,2018-08-31 18:42:26,117.97787,-8.40016,18.01,,,"unknown",2018-09-04 10:08:23,"blue, apparently hostless blue transient near Galactic plane, fading"
Gaia18cmc,2018-08-31 22:13:43,307.14820,25.73565,17.55,,,"SN Ia",2018-09-04 10:06:23,"confirmed SN Ia, aka SN 2018ebk"
Gaia18cmb,2018-08-30 16:00:03,300.01032,14.94243,18.51,,,"CV",2018-09-04 10:04:26,"blue hostless transient near Galactic plane. Confirmed as a CV by ZTF"
Gaia18cma,2018-08-31 02:53:57,270.95769,-42.90754,18.83,,,"unknown",2018-09-04 10:02:00,"hostless transient"
Gaia18clz,2018-09-01 04:27:22,255.18596,-50.08480,17.79,19.62,0.79,"unknown",2018-09-04 07:25:16,"candidate CV, aka USNO-B1.0 0399-0591734, brightens by almost 2 mag"
Gaia18cly,2018-09-01 11:50:41,86.92090,39.44941,15.74,17.53,0.90,"unknown",2018-09-04 07:21:38,"2 mag rise in Galactic plane star, known CV MASTER J054741.00+392657.4"
Gaia18clx,2018-08-30 01:16:06,130.46388,-40.72785,16.23,17.64,0.52,"unknown",2018-09-03 09:23:04,">1 mag brightening in erratically variable Galactic plane source"
Gaia18clw,2018-08-31 14:17:17,224.29495,-63.69281,16.98,20.57,0.26,"unknown",2018-09-03 07:22:50,"faint source in the Galactic Plane rises by 4 mag and gets blue, candidate CV"
Gaia18clv,2018-08-31 03:56:07,298.57743,10.70923,17.63,20.04,0.12,"unknown",2018-09-03 07:22:11,"faint Gaia source in the Galactic Plane slowly rises by almost 3 mag, candidate microlensing event"
Gaia18clu,2018-08-30 21:06:12,278.46587,-33.07086,18.63,,,"unknown",2018-09-03 07:21:35,"new source near the Galactic Bulge"
Gaia18clt,2018-08-30 23:05:56,284.25017,-21.81038,17.89,,,"unknown",2018-09-03 07:20:05,"blue new source near the Galactic Plane"
Gaia18cls,2018-08-30 07:23:50,135.70595,-46.74502,16.97,17.97,0.24,"unknown",2018-09-02 17:33:36,"Gaia source in Galactic plane brightens by ~1 mag"
Gaia18clr,2018-08-30 05:34:58,295.56792,4.62321,16.98,17.96,0.02,"unknown",2018-09-02 17:32:22,"Gaia source near Galactic plane brightens by almost 1 mag"
Gaia18clq,2018-08-27 22:05:07,296.57445,24.59653,20.31,19.03,0.20,"unknown",2018-09-02 17:29:44,"erratic variability in Galactic plane Gaia source"
Gaia18clp,2018-08-30 13:44:29,157.21093,-61.18933,14.65,18.14,0.02,"unknown",2018-09-02 16:50:52,"Gaia source in Galactic plane brightens by ~2 mags"
Gaia18clo,2018-08-30 09:54:28,206.58096,-69.82410,17.56,19.85,0.85,"unknown",2018-09-02 16:49:43,"Gaia source near Galactic plane brightens by ~2 mags, previous outbursts in lightcurve"
Gaia18cln,2018-08-30 17:47:33,92.75209,43.23593,15.02,17.89,0.06,"unknown",2018-09-02 16:48:38,"Gaia source near Galactic plane brightens by almost 3 mags"
Gaia18clm,2018-08-29 18:49:40,119.02435,-17.58451,19.18,20.46,0.50,"unknown",2018-09-02 16:47:23,"Gaia source in Galactic plane brightens by ~1 mag"
Gaia18cll,2018-08-30 16:37:51,321.92185,50.35427,17.51,,,"unknown",2018-09-02 16:46:18,"blue transient in Galactic plane"
Gaia18clk,2018-08-30 06:03:27,103.08936,27.47073,18.62,,,"SN Ia",2018-09-02 16:45:27,"candidate SN near galaxy NSA 134388"
Gaia18clj,2018-08-30 15:53:39,297.48140,9.00312,17.95,,,"unknown",2018-09-02 16:44:31,"blue transient near Galactic plane"
Gaia18cli,2018-08-30 04:54:21,281.08718,-31.98869,18.55,,,"unknown",2018-09-02 16:43:32,"transient near Galactic plane"
Gaia18clh,2018-08-29 10:22:52,307.28760,39.52798,20.43,19.07,0.20,"unknown",2018-09-02 16:41:26,"Gaia source in Galactic plane dims by more than 1 mag"
Gaia18clg,2018-08-29 19:46:05,155.58239,-64.55042,18.57,20.30,0.22,"unknown",2018-09-02 16:37:58,"Gaia source in Galactic plane brightens by ~1.5 mags"
Gaia18clf,2018-08-29 11:07:12,286.95061,-20.43278,16.96,19.16,0.19,"unknown",2018-09-02 16:36:48,"Gaia source brightens by ~2 mags"
Gaia18cle,2018-08-29 07:15:55,127.42056,-41.94977,18.83,19.45,0.04,"unknown",2018-09-02 16:35:32,"Gaia source in Galactic plane brightens by ~0.6 mags"
Gaia18cld,2018-08-29 16:42:32,276.97372,-42.25309,17.54,,,"unknown",2018-09-02 16:34:10,"blue transient on DSS blob"
Gaia18clc,2018-08-29 14:44:08,270.45930,-52.28954,18.36,,,"unknown",2018-09-02 16:33:07,"transient near Galactic plane"
Gaia18clb,2018-08-30 02:43:18,267.40393,-52.35311,17.02,,,"unknown",2018-09-02 16:31:42,"transient near Galactic plane"
Gaia18cla,2018-08-29 08:00:17,183.59343,-73.63185,18.12,,,"unknown",2018-09-02 16:30:34,"apparently hostless transient"
Gaia18ckz,2018-08-29 11:24:01,74.29120,65.29323,18.86,,,"unknown",2018-09-02 16:28:45,"candidate SN near galaxy 2MASX J04570859+6517405"
Gaia18cky,2018-08-29 16:04:28,300.37506,20.80258,18.90,,,"unknown",2018-09-02 16:27:24,"blue transient in Galactic plane"
Gaia18ckx,2018-08-27 16:09:18,296.44815,29.45897,18.24,18.86,0.06,"unknown",2018-09-01 11:13:34,"Gaia source in Galactic plane brightens by ~0.6 mags"
