#Yuan et al 2016, 450 Days of Type II SN 2013ej in Optical and Near-Infrared
#Table 2: Optical and NIR photometric observations of SN 2013ej.
#UT Date, JD (-2400000), Magnitude (error), filter, Telescope/Instrument (see footnote)
2013/07/27 , 56500.878 ,         12.25 (0.06) ,     U ,      1m004
2013/07/27 , 56501.252 ,         12.89 (0.06) ,     B ,      1m003
2013/07/28 , 56501.836 ,         12.88 (0.04) ,     B ,      1m004
2013/07/28 , 56501.878 ,         12.86 (0.04) ,     B ,      1m008
2013/07/28 , 56501.894 ,         12.84 (0.05) ,     B ,      1m004
2013/07/29 , 56502.836 ,         12.73 (0.04) ,     B ,      1m009
2013/07/29 , 56502.836 ,         12.77 (0.03) ,     B ,      1m004
2013/08/02 , 56506.859 ,         12.66 (0.07) ,     B ,      1m004
2013/08/04 , 56508.873 ,         12.64 (0.05) ,     B ,      1m008
2013/08/05 , 56509.855 ,         12.66 (0.04) ,     B ,      1m008
2013/08/05 , 56509.941 ,         12.67 (0.04) ,     B ,      1m008
2013/08/06 , 56510.851 ,         12.72 (0.05) ,     B ,      1m008
2013/08/09 , 56513.869 ,         12.84 (0.04) ,     B ,      1m008
2013/08/09 , 56513.899 ,         12.87 (0.05) ,     B ,      1m004
2013/08/10 , 56514.672 ,         12.88 (0.06) ,     B ,      1m010
2013/08/11 , 56515.673 ,         12.97 (0.06) ,     B ,      1m013
2013/08/12 , 56516.793 ,         13.04 (0.04) ,     B ,      1m004
2013/08/13 , 56517.590 ,         13.07 (0.07) ,     B ,      AFOSC
2013/08/13 , 56517.897 ,         13.12 (0.05) ,     B ,      1m004
2013/08/14 , 56518.796 ,         13.16 (0.05) ,     B ,      1m004
2013/08/15 , 56519.796 ,         13.21 (0.03) ,     B ,      1m009
2013/08/16 , 56520.787 ,         13.27 (0.04) ,     B ,      1m009
2013/08/17 , 56521.784 ,         13.37 (0.04) ,     B ,      1m005
2013/08/18 , 56522.947 ,         13.43 (0.03) ,     B ,      1m008
2013/08/20 , 56524.845 ,         13.60 (0.08) ,     B ,      1m005
2013/08/21 , 56525.525 ,         13.65 (0.06) ,     B ,       SBIG
2013/08/21 , 56525.807 ,         13.66 (0.04) ,     B ,      1m008
2013/08/21 , 56525.820 ,         13.64 (0.04) ,     B ,      1m009
2013/08/21 , 56526.480 ,         13.70 (0.09) ,     B ,       SBIG
2013/08/22 , 56526.836 ,         13.73 (0.03) ,     B ,      1m004
2013/08/25 , 56529.809 ,         13.90 (0.04) ,     B ,      1m004
2013/08/29 , 56533.934 ,         14.12 (0.05) ,     B ,      1m008
2013/08/30 , 56534.830 ,         14.14 (0.05) ,     B ,      1m008
2013/08/31 , 56535.852 ,         14.20 (0.05) ,     B ,      1m008
2013/09/01 , 56536.841 ,         14.23 (0.04) ,     B ,      1m008
2013/09/03 , 56538.912 ,         14.30 (0.05) ,     B ,      1m008
2013/09/04 , 56539.575 ,         14.27 (0.04) ,     B ,       SBIG
2013/09/06 , 56541.871 ,         14.43 (0.05) ,     B ,      1m008
2013/09/08 , 56543.858 ,         14.50 (0.05) ,     B ,      1m008
2013/09/09 , 56544.867 ,         14.53 (0.05) ,     B ,      1m008
2013/09/14 , 56549.862 ,         14.70 (0.04) ,     B ,      1m008
2013/09/24 , 56559.758 ,         14.98 (0.06) ,     B ,      1m008
2013/09/26 , 56561.745 ,         15.00 (0.05) ,     B ,      1m008
2013/09/29 , 56564.752 ,         15.06 (0.06) ,     B ,      1m008
2013/10/06 , 56572.460 ,         15.23 (0.05) ,     B ,      1m012
2013/10/08 , 56574.493 ,         15.29 (0.05) ,     B ,      1m013
2013/10/09 , 56574.512 ,         15.25 (0.04) ,     B ,      1m010
2013/10/12 , 56578.365 ,         15.37 (0.11) ,     B ,       SBIG
2013/10/13 , 56579.495 ,         15.43 (0.05) ,     B ,      1m010
2013/10/15 , 56581.490 ,         15.45 (0.06) ,     B ,      1m012
2013/10/18 , 56583.605 ,         15.57 (0.04) ,     B ,      1m004
2013/10/20 , 56585.625 ,         15.67 (0.04) ,     B ,      1m004
2013/10/22 , 56588.331 ,         15.77 (0.04) ,     B ,      1m010
2013/10/25 , 56590.926 ,         15.93 (0.05) ,     B ,      1m008
2013/10/26 , 56591.622 ,         15.98 (0.05) ,     B ,      1m009
2013/10/28 , 56593.616 ,         16.12 (0.04) ,     B ,      1m005
2013/10/28 , 56593.642 ,         16.12 (0.05) ,     B ,      1m005
2013/10/29 , 56595.389 ,         16.34 (0.06) ,     B ,      1m012
2013/11/03 , 56599.571 ,         17.11 (0.05) ,     B ,      1m004
2013/11/03 , 56600.474 ,         17.20 (0.05) ,     B ,      1m010
2013/11/05 , 56602.385 ,         17.46 (0.05) ,     B ,      1m010
2013/11/08 , 56604.550 ,         17.68 (0.05) ,     B ,      1m009
2013/11/12 , 56608.853 ,         17.85 (0.06) ,     B ,      1m008
2013/11/12 , 56609.350 ,         17.87 (0.06) ,     B ,       SBIG
2013/11/18 , 56614.560 ,         17.87 (0.07) ,     B ,      1m009
2013/11/19 , 56615.672 ,         17.89 (0.06) ,     B ,      1m004
2013/11/20 , 56617.288 ,         17.94 (0.06) ,     B ,      1m012
2013/11/20 , 56617.480 ,         17.90 (0.09) ,     B ,       SBIG
2013/11/21 , 56618.399 ,         17.95 (0.06) ,     B ,      1m010
2013/11/24 , 56621.291 ,         17.96 (0.05) ,     B ,      1m012
2013/11/24 , 56621.336 ,         17.99 (0.05) ,     B ,      1m010
2013/11/26 , 56623.395 ,         18.03 (0.07) ,     B ,       SBIG
2013/11/27 , 56624.312 ,         18.08 (0.07) ,     B ,      1m012
2013/11/28 , 56624.573 ,         18.07 (0.06) ,     B ,      1m005
2013/11/29 , 56626.346 ,         18.08 (0.07) ,     B ,      1m012
2013/12/03 , 56630.020 ,         18.09 (0.06) ,     B ,      1m003
2013/12/06 , 56633.262 ,         18.13 (0.07) ,     B ,       SBIG
2013/12/10 , 56637.293 ,         18.42 (0.08) ,     B ,       SBIG
2013/12/11 , 56638.337 ,         18.29 (0.08) ,     B ,      1m012
2014/01/16 , 56673.700 ,         18.71 (0.09) ,     B ,      1m008
2014/08/16 , 56885.882 ,         20.39 (0.08) ,     B ,        NTT
2013/07/24 , 56498.309 ,         14.49 (0.07) ,     V ,        LOT
2013/07/27 , 56500.840 ,         12.98 (0.03) ,     V ,      1m004
2013/07/27 , 56500.897 ,         12.98 (0.05) ,     V ,      1m004
2013/07/27 , 56501.256 ,         12.91 (0.05) ,     V ,      1m003
2013/07/28 , 56501.840 ,         12.87 (0.04) ,     V ,      1m004
2013/07/28 , 56501.897 ,         12.85 (0.05) ,     V ,      1m004
2013/07/29 , 56502.840 ,         12.74 (0.03) ,     V ,      1m009
2013/07/29 , 56502.840 ,         12.76 (0.03) ,     V ,      1m004
2013/08/02 , 56506.862 ,         12.56 (0.05) ,     V ,      1m004
2013/08/03 , 56507.905 ,         12.52 (0.04) ,     V ,      1m008
2013/08/04 , 56508.875 ,         12.51 (0.04) ,     V ,      1m008
2013/08/05 , 56509.857 ,         12.50 (0.03) ,     V ,      1m008
2013/08/05 , 56509.943 ,         12.52 (0.03) ,     V ,      1m008
2013/08/06 , 56510.853 ,         12.51 (0.03) ,     V ,      1m008
2013/08/09 , 56513.871 ,         12.53 (0.03) ,     V ,      1m008
2013/08/09 , 56513.901 ,         12.54 (0.05) ,     V ,      1m004
2013/08/10 , 56514.674 ,         12.54 (0.05) ,     V ,      1m010
2013/08/11 , 56515.675 ,         12.59 (0.05) ,     V ,      1m013
2013/08/12 , 56516.795 ,         12.58 (0.04) ,     V ,      1m004
2013/08/13 , 56517.590 ,         12.55 (0.06) ,     V ,      AFOSC
2013/08/13 , 56517.900 ,         12.59 (0.05) ,     V ,      1m004
2013/08/14 , 56518.798 ,         12.58 (0.04) ,     V ,      1m004
2013/08/16 , 56520.790 ,         12.63 (0.04) ,     V ,      1m009
2013/08/17 , 56521.786 ,         12.66 (0.04) ,     V ,      1m005
2013/08/18 , 56522.946 ,         12.67 (0.03) ,     V ,      1m008
2013/08/20 , 56524.848 ,         12.75 (0.05) ,     V ,      1m005
2013/08/21 , 56525.525 ,         12.77 (0.05) ,     V ,       SBIG
2013/08/21 , 56525.809 ,         12.82 (0.04) ,     V ,      1m008
2013/08/21 , 56525.822 ,         12.78 (0.04) ,     V ,      1m009
2013/08/21 , 56526.480 ,         12.73 (0.07) ,     V ,       SBIG
2013/08/22 , 56526.838 ,         12.82 (0.03) ,     V ,      1m004
2013/08/24 , 56529.276 ,         12.91 (0.06) ,     V ,      1m003
2013/08/25 , 56529.811 ,         12.94 (0.04) ,     V ,      1m004
2013/08/29 , 56533.936 ,         13.04 (0.03) ,     V ,      1m008
2013/08/30 , 56534.831 ,         13.07 (0.06) ,     V ,      1m008
2013/08/31 , 56535.854 ,         13.10 (0.04) ,     V ,      1m008
2013/09/01 , 56536.843 ,         13.10 (0.04) ,     V ,      1m008
2013/09/03 , 56538.914 ,         13.18 (0.04) ,     V ,      1m008
2013/09/04 , 56539.575 ,         13.24 (0.06) ,     V ,       SBIG
2013/09/06 , 56541.873 ,         13.25 (0.04) ,     V ,      1m008
2013/09/09 , 56544.869 ,         13.32 (0.04) ,     V ,      1m008
2013/09/24 , 56559.760 ,         13.60 (0.03) ,     V ,      1m008
2013/09/26 , 56561.747 ,         13.62 (0.04) ,     V ,      1m008
2013/09/29 , 56564.755 ,         13.67 (0.05) ,     V ,      1m008
2013/10/06 , 56572.462 ,         13.77 (0.05) ,     V ,      1m012
2013/10/08 , 56574.496 ,         13.85 (0.05) ,     V ,      1m013
2013/10/09 , 56574.515 ,         13.79 (0.04) ,     V ,      1m010
2013/10/12 , 56578.112 ,         13.92 (0.06) ,     V ,      1m011
2013/10/12 , 56578.365 ,         13.90 (0.20) ,     V ,       SBIG
2013/10/13 , 56579.498 ,         13.95 (0.05) ,     V ,      1m010
2013/10/15 , 56581.493 ,         14.04 (0.06) ,     V ,      1m012
2013/10/18 , 56583.607 ,         14.09 (0.04) ,     V ,      1m004
2013/10/20 , 56585.628 ,         14.15 (0.03) ,     V ,      1m004
2013/10/22 , 56588.334 ,         14.23 (0.04) ,     V ,      1m010
2013/10/25 , 56590.929 ,         14.36 (0.05) ,     V ,      1m008
2013/10/26 , 56591.626 ,         14.42 (0.05) ,     V ,      1m009
2013/10/28 , 56593.620 ,         14.57 (0.05) ,     V ,      1m005
2013/10/28 , 56593.646 ,         14.57 (0.04) ,     V ,      1m005
2013/10/29 , 56595.393 ,         14.80 (0.05) ,     V ,      1m012
2013/11/03 , 56599.575 ,         15.66 (0.05) ,     V ,      1m004
2013/11/03 , 56600.478 ,         15.81 (0.04) ,     V ,      1m010
2013/11/05 , 56602.389 ,         16.12 (0.04) ,     V ,      1m010
2013/11/08 , 56604.556 ,         16.30 (0.05) ,     V ,      1m009
2013/11/12 , 56608.859 ,         16.48 (0.05) ,     V ,      1m008
2013/11/12 , 56609.350 ,         16.42 (0.08) ,     V ,       SBIG
2013/11/18 , 56614.570 ,         16.53 (0.04) ,     V ,      1m009
2013/11/19 , 56615.680 ,         16.62 (0.05) ,     V ,      1m004
2013/11/20 , 56617.296 ,         16.64 (0.05) ,     V ,      1m012
2013/11/20 , 56617.480 ,         16.69 (0.07) ,     V ,       SBIG
2013/11/21 , 56618.407 ,         16.65 (0.05) ,     V ,      1m010
2013/11/24 , 56621.299 ,         16.68 (0.05) ,     V ,      1m012
2013/11/24 , 56621.344 ,         16.68 (0.05) ,     V ,      1m010
2013/11/26 , 56623.395 ,         16.65 (0.07) ,     V ,       SBIG
2013/11/28 , 56624.580 ,         16.77 (0.05) ,     V ,      1m005
2013/11/29 , 56626.352 ,         16.83 (0.08) ,     V ,      1m012
2013/12/03 , 56630.027 ,         16.86 (0.05) ,     V ,      1m003
2013/12/06 , 56633.262 ,         16.90 (0.05) ,     V ,       SBIG
2013/12/10 , 56637.293 ,         16.86 (0.09) ,     V ,       SBIG
2013/12/11 , 56638.349 ,         16.92 (0.10) ,     V ,      1m012
2014/01/17 , 56674.927 ,         17.38 (0.13) ,     V ,      1m003
2014/08/16 , 56885.854 ,         19.90 (0.09) ,     V ,        NTT
2014/10/21 , 56951.654 ,         20.58 (0.12) ,     V ,        VLT
2013/07/24 , 56498.327 ,         14.55 (0.02) ,     R ,        LOT
2013/07/27 , 56500.856 ,         12.91 (0.02) ,     R ,      1m004
2013/07/27 , 56501.272 ,         12.88 (0.08) ,     R ,      1m003
2013/07/28 , 56501.856 ,         12.78 (0.03) ,     R ,      1m004
2013/07/29 , 56502.856 ,         12.63 (0.03) ,     R ,      1m009
2013/07/29 , 56502.856 ,         12.63 (0.03) ,     R ,      1m004
2013/08/03 , 56507.862 ,         12.38 (0.03) ,     R ,      1m008
2013/08/04 , 56508.867 ,         12.34 (0.03) ,     R ,      1m008
2013/08/05 , 56509.935 ,         12.32 (0.02) ,     R ,      1m008
2013/08/09 , 56513.843 ,         12.29 (0.03) ,     R ,      1m008
2013/08/09 , 56513.879 ,         12.33 (0.03) ,     R ,      1m004
2013/08/10 , 56514.816 ,         12.29 (0.03) ,     R ,      1m009
2013/08/13 , 56517.590 ,         12.33 (0.05) ,     R ,      AFOSC
2013/08/13 , 56517.901 ,         12.30 (0.03) ,     R ,      1m004
2013/08/14 , 56518.800 ,         12.27 (0.04) ,     R ,      1m004
2013/08/17 , 56521.787 ,         12.32 (0.04) ,     R ,      1m005
2013/08/18 , 56522.950 ,         12.32 (0.02) ,     R ,      1m008
2013/08/20 , 56524.850 ,         12.39 (0.04) ,     R ,      1m005
2013/08/21 , 56525.525 ,         12.49 (0.06) ,     R ,       SBIG
2013/08/21 , 56525.810 ,         12.40 (0.03) ,     R ,      1m008
2013/08/21 , 56525.824 ,         12.39 (0.03) ,     R ,      1m009
2013/08/21 , 56526.480 ,         12.46 (0.15) ,     R ,       SBIG
2013/08/22 , 56526.840 ,         12.41 (0.02) ,     R ,      1m004
2013/08/24 , 56529.278 ,         12.49 (0.07) ,     R ,      1m003
2013/08/25 , 56529.812 ,         12.49 (0.04) ,     R ,      1m004
2013/08/29 , 56533.938 ,         12.55 (0.03) ,     R ,      1m008
2013/08/31 , 56535.855 ,         12.61 (0.02) ,     R ,      1m008
2013/09/01 , 56536.845 ,         12.62 (0.02) ,     R ,      1m008
2013/09/03 , 56538.916 ,         12.67 (0.03) ,     R ,      1m008
2013/09/06 , 56541.874 ,         12.73 (0.03) ,     R ,      1m008
2013/09/08 , 56543.861 ,         12.76 (0.03) ,     R ,      1m008
2013/09/09 , 56544.871 ,         12.78 (0.03) ,     R ,      1m008
2013/09/14 , 56549.866 ,         12.88 (0.02) ,     R ,      1m008
2013/09/24 , 56559.762 ,         13.01 (0.03) ,     R ,      1m008
2013/09/26 , 56561.749 ,         13.02 (0.03) ,     R ,      1m008
2013/09/29 , 56564.756 ,         13.08 (0.04) ,     R ,      1m008
2013/10/06 , 56572.464 ,         13.19 (0.04) ,     R ,      1m012
2013/10/08 , 56574.498 ,         13.21 (0.04) ,     R ,      1m013
2013/10/09 , 56574.517 ,         13.16 (0.03) ,     R ,      1m010
2013/10/12 , 56578.115 ,         13.26 (0.06) ,     R ,      1m011
2013/10/12 , 56578.365 ,         13.27 (0.21) ,     R ,       SBIG
2013/10/13 , 56579.500 ,         13.29 (0.04) ,     R ,      1m010
2013/10/15 , 56581.494 ,         13.36 (0.05) ,     R ,      1m012
2013/10/18 , 56583.609 ,         13.42 (0.03) ,     R ,      1m004
2013/10/20 , 56585.630 ,         13.49 (0.03) ,     R ,      1m004
2013/10/22 , 56588.336 ,         13.53 (0.04) ,     R ,      1m010
2013/10/25 , 56590.931 ,         13.66 (0.04) ,     R ,      1m008
2013/10/26 , 56591.628 ,         13.70 (0.04) ,     R ,      1m009
2013/10/28 , 56593.623 ,         13.82 (0.03) ,     R ,      1m005
2013/10/28 , 56593.649 ,         13.83 (0.03) ,     R ,      1m005
2013/10/29 , 56595.395 ,         14.01 (0.03) ,     R ,      1m012
2013/11/03 , 56599.578 ,         14.75 (0.03) ,     R ,      1m004
2013/11/03 , 56600.481 ,         14.85 (0.03) ,     R ,      1m010
2013/11/05 , 56602.391 ,         15.09 (0.03) ,     R ,      1m010
2013/11/08 , 56604.561 ,         15.27 (0.04) ,     R ,      1m009
2013/11/12 , 56608.864 ,         15.41 (0.04) ,     R ,      1m008
2013/11/12 , 56609.350 ,         15.42 (0.14) ,     R ,       SBIG
2013/11/16 , 56612.642 ,         15.50 (0.06) ,     R ,      1m004
2013/11/18 , 56614.575 ,         15.43 (0.03) ,     R ,      1m009
2013/11/19 , 56615.685 ,         15.54 (0.04) ,     R ,      1m004
2013/11/20 , 56617.299 ,         15.57 (0.05) ,     R ,      1m012
2013/11/20 , 56617.480 ,         15.54 (0.13) ,     R ,       SBIG
2013/11/21 , 56618.412 ,         15.55 (0.04) ,     R ,      1m010
2013/11/24 , 56621.304 ,         15.61 (0.03) ,     R ,      1m012
2013/11/24 , 56621.349 ,         15.59 (0.04) ,     R ,      1m010
2013/11/26 , 56623.395 ,         15.68 (0.12) ,     R ,       SBIG
2013/11/28 , 56624.585 ,         15.66 (0.04) ,     R ,      1m005
2013/12/03 , 56630.032 ,         15.75 (0.04) ,     R ,      1m003
2013/12/06 , 56633.262 ,         15.72 (0.06) ,     R ,       SBIG
2013/12/10 , 56637.293 ,         15.76 (0.20) ,     R ,       SBIG
2013/12/11 , 56638.352 ,         15.83 (0.06) ,     R ,      1m012
2014/01/17 , 56674.932 ,         16.45 (0.06) ,     R ,      1m003
2014/08/16 , 56885.864 ,         19.21 (0.09) ,     R ,        NTT
2013/07/27 , 56500.859 ,         12.91 (0.03) ,     I ,      1m004
2013/07/28 , 56501.859 ,         12.75 (0.03) ,     I ,      1m004
2013/07/29 , 56502.859 ,         12.61 (0.03) ,     I ,      1m009
2013/07/29 , 56502.859 ,         12.62 (0.03) ,     I ,      1m004
2013/08/03 , 56507.864 ,         12.34 (0.03) ,     I ,      1m008
2013/08/04 , 56508.869 ,         12.29 (0.04) ,     I ,      1m008
2013/08/05 , 56509.937 ,         12.27 (0.03) ,     I ,      1m008
2013/08/06 , 56510.872 ,         12.27 (0.04) ,     I ,      1m008
2013/08/07 , 56511.600 ,         12.26 (0.29) ,     I ,       SBIG
2013/08/09 , 56513.844 ,         12.22 (0.03) ,     I ,      1m008
2013/08/09 , 56513.881 ,         12.23 (0.04) ,     I ,      1m004
2013/08/10 , 56514.815 ,         12.21 (0.03) ,     I ,      1m009
2013/08/13 , 56517.590 ,         12.29 (0.04) ,     I ,      AFOSC
2013/08/13 , 56517.903 ,         12.18 (0.04) ,     I ,      1m004
2013/08/14 , 56518.801 ,         12.16 (0.05) ,     I ,      1m004
2013/08/15 , 56519.801 ,         12.16 (0.04) ,     I ,      1m009
2013/08/16 , 56520.793 ,         12.18 (0.04) ,     I ,      1m009
2013/08/17 , 56521.790 ,         12.18 (0.04) ,     I ,      1m005
2013/08/18 , 56522.952 ,         12.18 (0.03) ,     I ,      1m008
2013/08/21 , 56525.525 ,         12.40 (0.06) ,     I ,       SBIG
2013/08/21 , 56525.812 ,         12.25 (0.04) ,     I ,      1m008
2013/08/21 , 56525.826 ,         12.23 (0.04) ,     I ,      1m009
2013/08/21 , 56526.480 ,         12.24 (0.12) ,     I ,       SBIG
2013/08/22 , 56526.842 ,         12.25 (0.02) ,     I ,      1m004
2013/08/24 , 56529.279 ,         12.30 (0.07) ,     I ,      1m003
2013/08/25 , 56529.814 ,         12.30 (0.03) ,     I ,      1m004
2013/08/29 , 56533.940 ,         12.34 (0.04) ,     I ,      1m008
2013/08/31 , 56535.857 ,         12.39 (0.04) ,     I ,      1m008
2013/09/01 , 56536.846 ,         12.41 (0.04) ,     I ,      1m008
2013/09/03 , 56538.917 ,         12.45 (0.03) ,     I ,      1m008
2013/09/04 , 56539.575 ,         12.49 (0.08) ,     I ,       SBIG
2013/09/06 , 56541.876 ,         12.48 (0.03) ,     I ,      1m008
2013/09/08 , 56543.863 ,         12.52 (0.04) ,     I ,      1m008
2013/09/09 , 56544.872 ,         12.53 (0.05) ,     I ,      1m008
2013/09/14 , 56549.867 ,         12.61 (0.03) ,     I ,      1m008
2013/09/24 , 56559.763 ,         12.73 (0.04) ,     I ,      1m008
2013/09/26 , 56561.750 ,         12.75 (0.03) ,     I ,      1m008
2013/09/29 , 56564.758 ,         12.83 (0.05) ,     I ,      1m008
2013/10/06 , 56572.466 ,         12.89 (0.04) ,     I ,      1m012
2013/10/08 , 56574.500 ,         12.93 (0.05) ,     I ,      1m013
2013/10/09 , 56574.519 ,         12.89 (0.04) ,     I ,      1m010
2013/10/12 , 56578.116 ,         12.98 (0.05) ,     I ,      1m011
2013/10/12 , 56578.365 ,         12.99 (0.16) ,     I ,       SBIG
2013/10/14 , 56579.502 ,         13.02 (0.05) ,     I ,      1m010
2013/10/15 , 56581.496 ,         13.11 (0.05) ,     I ,      1m012
2013/10/18 , 56583.611 ,         13.14 (0.03) ,     I ,      1m004
2013/10/20 , 56585.632 ,         13.20 (0.04) ,     I ,      1m004
2013/10/22 , 56588.338 ,         13.25 (0.04) ,     I ,      1m010
2013/10/25 , 56590.933 ,         13.35 (0.04) ,     I ,      1m008
2013/10/26 , 56591.631 ,         13.41 (0.05) ,     I ,      1m009
2013/10/28 , 56593.625 ,         13.53 (0.03) ,     I ,      1m005
2013/10/28 , 56593.651 ,         13.54 (0.04) ,     I ,      1m005
2013/10/29 , 56595.398 ,         13.73 (0.04) ,     I ,      1m012
2013/11/03 , 56599.580 ,         14.44 (0.04) ,     I ,      1m004
2013/11/03 , 56600.483 ,         14.54 (0.03) ,     I ,      1m010
2013/11/05 , 56602.394 ,         14.76 (0.03) ,     I ,      1m010
2013/11/08 , 56604.566 ,         14.93 (0.04) ,     I ,      1m009
2013/11/12 , 56608.869 ,         15.06 (0.04) ,     I ,      1m008
2013/11/12 , 56609.350 ,         15.06 (0.15) ,     I ,       SBIG
2013/11/18 , 56614.581 ,         15.12 (0.07) ,     I ,      1m009
2013/11/19 , 56615.690 ,         15.19 (0.04) ,     I ,      1m004
2013/11/20 , 56617.306 ,         15.21 (0.04) ,     I ,      1m012
2013/11/21 , 56618.418 ,         15.21 (0.04) ,     I ,      1m010
2013/11/24 , 56621.309 ,         15.27 (0.03) ,     I ,      1m012
2013/11/24 , 56621.354 ,         15.27 (0.04) ,     I ,      1m010
2013/11/26 , 56623.395 ,         15.35 (0.10) ,     I ,       SBIG
2013/11/28 , 56624.591 ,         15.35 (0.04) ,     I ,      1m005
2013/12/01 , 56628.395 ,         15.66 (0.19) ,     I ,      1m012
2013/12/03 , 56630.037 ,         15.43 (0.04) ,     I ,      1m003
2013/12/06 , 56633.262 ,         15.48 (0.06) ,     I ,       SBIG
2013/12/10 , 56637.293 ,         15.73 (0.20) ,     I ,       SBIG
2013/12/11 , 56638.356 ,         15.52 (0.08) ,     I ,      1m012
2013/07/27 , 56500.873 ,         12.97 (0.09) ,     u ,      1m004
2013/07/28 , 56501.873 ,         12.90 (0.08) ,     u ,      1m004
2013/08/14 , 56518.812 ,         13.95 (0.04) ,     u ,      1m004
2013/08/15 , 56519.792 ,         14.05 (0.09) ,     u ,      1m004
2013/08/16 , 56520.786 ,         14.13 (0.11) ,     u ,      1m005
2013/08/17 , 56521.779 ,         14.35 (0.12) ,     u ,      1m004
2013/08/18 , 56522.867 ,         14.36 (0.11) ,     u ,      1m008
2013/08/22 , 56526.815 ,         14.81 (0.06) ,     u ,      1m009
2013/08/24 , 56529.120 ,         14.97 (0.11) ,     u ,      1m011
2013/08/25 , 56529.811 ,         15.20 (0.14) ,     u ,      1m009
