SNLS-05D3lq	14 21 18.449	+52 32 08.29	0.42	53528	-	-
SNLS-05D3mq	14 19 00.398	+52 23 06.81	0.24	53559	5	-
SNLS-05D3mx	14 22 09.078	+52 13 09.35	0.47	53559	-	-
SNLS-03D4ag	22 14 45.790	-17 44 23.00	0.28	52813	-	A06
SNLS-03D4au	22 16 09.920	-18 04 39.37	0.47	52815	-	A06, B06
SNLS-03D4cj	22 16 06.660	-17 42 16.72	0.27	52873	-	A06, H05
SNLS-03D4gf	22 14 22.907	-17 44 02.49	0.58	52930	-	A06, B06
SNLS-03D4gg	22 16 40.185	-18 09 51.82	0.59	52930	-	A06, B06
SNLS-03D4gl	22 14 44.177	-17 31 44.47	0.57	52935	5	A06, H05
SNLS-04D4bq	22 14 49.391	-17 49 39.37	0.55	53174	-	A06, B06
SNLS-04D4gg	22 16 09.268	-17 17 39.98	0.42	53228	-	H05
SNLS-04D4gz	22 16 59.018	-17 37 19.02	0.38	53235	-	-
SNLS-04D4ht	22 14 33.289	-17 21 31.33	0.22	53254	2	-
SNLS-04D4in	22 15 08.585	-17 15 39.85	0.52	53267	-	-
SNLS-04D4jr	22 14 14.335	-17 21 00.93	0.48	53284	-	-
SNLS-04D4ju	22 17 02.733	-17 19 58.34	0.47	53284	-	-
