Title: The hydrogen-poor superluminous supernova iPTF 13ajg and 
       its host galaxy in absorption and emission  
Authors: Vreeswijk P.M., Savaglio S., Gal-Yam A., De Cia A., Quimby R.M., 
         Sullivan M., Cenko S.B., Perley D.A., Filippenko A.V., Clubb K.I., 
         Taddia F., Sollerman J., Leloudas G., Arcavi I., Rubin A., 
         Kasliwal M.M., Cao Y., Yaron O., Tal D., Ofek E.O., Capone J., 
         Kutyrev A.S., Toy V., Nugent P.E., Laher R., Surace J., Kulkarni S.R. 
Table: Log of imaging observations of iPTF 13ajg
================================================================================
Byte-by-byte Description of file: apj503275t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   d       MJD     Modified Julian Date
  11- 17 F7.3   d       Time    Observed time relative to R band peak (1)
  19- 25 F7.3   d       Phase   Phase
  27- 38 A12    ---     Tel     Telescope used
  40- 46 A7     min     Exp     Exposure time 
  48- 50 A3     ---     Filter  Filter used
  52- 54 F3.1   arcsec  Seeing  Seeing
      56 A1     ---   l_mag     Limit flag on mag
56412.442   6.842   3.932 P60          3.0     i   1.8   20.41 0.09 
56412.444   6.844   3.933 P60          3.0     r   1.6   20.23 0.06 
56412.449   6.849   3.936 P60          3.0     g   1.8   20.82 0.10 
56413.913   8.313   4.777 P60          4X3.0   B   2.1   21.32 0.12 
56416.323  10.723   6.162 P60          3.0     B   1.1   21.21 0.09 
56422.412  16.812   9.660 P60          3.0     i   1.5   20.30 0.07 
56422.415  16.815   9.662 P60          3.0     B   1.6   21.47 0.14 
56423.368  17.768  10.210 P60          3.0     r   1.6   20.40 0.05 
56423.371  17.771  10.211 P60          3.0     g   1.9   20.94 0.06 
56427.339  21.739  12.492 P60          3.0     i   2.7   20.63 0.12 
56428.358  22.758  13.077 P60          2X3.0   B   2.2   21.69 0.28 
56429.372  23.772  13.660 P60          3.0     r   2.3   19.26 0.40 
56429.377  23.777  13.663 P60          3.0     g   2.5 > 20.19      
56431.376  25.776  14.811 P60          3.0     r   2.3   20.53 0.07 
56431.380  25.780  14.814 P60          3.0     g   3.1   21.56 0.16 
56432.309  26.709  15.347 P60          3.0     r   1.3   20.68 0.06 
56432.314  26.714  15.350 P60          3.0     g   1.4   21.26 0.11 
56432.825  27.225  15.644 P60          4X3.0   B   1.6   21.76 0.23 
56433.311  27.711  15.923 P60          3.0     i   1.4   20.60 0.11 
56433.313  27.713  15.924 P60          3.0     r   1.2   20.83 0.12 
56433.317  27.717  15.927 P60          3.0     g   1.3   21.38 0.16 
56436.336  30.736  17.661 P60          3X3.0   B   2.4 > 21.05      
56440.339  34.739  19.962 P60          3.0     i   2.2   20.70 0.17 
56440.341  34.741  19.963 P60          3.0     r   2.2   21.18 0.22 
56440.346  34.746  19.966 P60          3.0     g   2.1   22.77 0.85 
56441.363  35.763  20.550 P60          3.0     g   3.0 > 21.76      
56441.639  36.039  20.708 P60          3X3.0   B   2.6 > 21.89      
56443.209  37.609  21.611 P60          3.0     i   2.9   20.89 0.17 
56443.211  37.611  21.612 P60          3.0     r   2.7   21.11 0.13 
56443.216  37.616  21.615 P60          3.0     g   2.3   22.34 0.22 
56444.301  38.701  22.238 P60          3.0     i   2.6   21.06 0.18 
56444.306  38.706  22.241 P60          3.0     g   2.9   22.04 0.20 
56445.197  39.597  22.753 P60          3.0     i   1.2   21.01 0.11 
56445.202  39.602  22.756 P60          3.0     g   1.2   22.21 0.14 
56445.261  39.661  22.790 P60          3X3.0   B   2.0   22.38 0.24 
56447.834  42.234  24.268 P60          2X3.0   B   2.7 > 22.81      
56449.294  43.694  25.107 P60          2X3.0   r   1.4   21.34 0.06 
56451.331  45.731  26.278 P60          3.0     i   1.7   21.04 0.11 
56451.825  46.225  26.562 P60          4X3.0   B   1.7   23.15 0.31 
56455.444  49.844  28.641 P60          3.0     r   3.2   21.57 0.22 
56456.216  50.616  29.085 P60          3.0     r   1.3   21.58 0.10 
56456.770  51.170  29.403 P60          4X3.0   B   1.6   23.10 0.36 
56457.207  51.607  29.654 P60          3.0     i   1.6   21.18 0.14 
56460.243  54.643  31.399 P60          3X3.0   B   1.9 > 22.53      
56462.293  56.693  32.577 P60          3.0     r   3.2 > 21.78      
56462.296  56.696  32.578 P60          3.0     B   3.1 > 21.30      
56467.316  61.716  35.463 P60          3.0     i   2.0   20.97 0.29 
56467.319  61.719  35.465 P60          3.0     r   2.2 > 21.35      
56468.446  62.846  36.112 P60          3.0     i   2.5   21.22 0.32 
56468.448  62.848  36.113 P60          3.0     r   2.2 > 21.46      
56468.834  63.234  36.335 P60          4X3.0   B   1.6 > 21.88      
56469.302  63.702  36.604 P60          3.0     i   2.0   21.53 0.29 
56469.305  63.705  36.606 P60          3.0     r   1.7   22.17 0.35 
56470.257  64.657  37.153 P60          3.0     r   1.3   21.61 0.13 
56473.303  67.703  38.903 P60          3.0     i   1.3   21.38 0.16 
56475.213  69.613  40.001 P60          3.0     i   1.9   21.21 0.18 
56477.303  71.703  41.202 P60          3.0     i   3.4   21.97 0.49 
56477.306  71.706  41.203 P60          3.0     r   2.6 > 21.47      
56479.297  73.697  42.347 P60          3.0     i   1.8   21.65 0.22 
56479.299  73.699  42.348 P60          3.0     r   1.8   22.18 0.25 
56480.232  74.632  42.885 P60          3.0     i   1.4   21.67 0.19 
56480.235  74.635  42.886 P60          3.0     r   1.5   21.81 0.14 
56418.126  12.526   7.198 NOT+ALFOSC   3X3.0   u   0.6   22.46 0.10 
56418.133  12.533   7.202 NOT+ALFOSC   3X2.0   g   0.8   20.89 0.02 
56418.139  12.539   7.205 NOT+ALFOSC   3X2.0   r   0.7   20.37 0.01 
56418.144  12.544   7.208 NOT+ALFOSC   3X2.0   i   0.7   20.45 0.02 
56418.151  12.551   7.212 NOT+ALFOSC   3X3.0   z   0.8   20.55 0.05 
56430.077  24.477  14.065 NOT+ALFOSC   4X3.0   u   0.7   22.58 0.09 
56430.084  24.484  14.069 NOT+ALFOSC   3X2.0   g   0.7   21.27 0.02 
56430.089  24.489  14.072 NOT+ALFOSC   3X1.5   r   0.7   20.63 0.02 
56430.094  24.494  14.075 NOT+ALFOSC   3X1.5   i   0.7   20.53 0.03 
56430.100  24.500  14.078 NOT+ALFOSC   3X3.0   z   0.6   20.64 0.05 
56477.038  71.438  41.049 NOT+ALFOSC   5X1.5   r   0.6   22.08 0.05 
56477.046  71.446  41.054 NOT+ALFOSC   5X1.5   i   0.6   21.73 0.05 
56477.057  71.457  41.060 NOT+ALFOSC   5X3.0   z   0.6   21.68 0.09 
56702.000 296.400 170.315 DCT+LMI      18X3.0  r   1.2 > 25.12      
56544.314 138.714  79.707 Keck+LRIS    2X5.0   g   0.6   26.89 0.25 
56544.314 138.714  79.707 Keck+LRIS    2X5.0   R_s 0.7   23.83 0.08 
56776.586 370.986 213.174 Keck+LRIS    4X4.2   g   0.6   26.49 0.14 
56776.586 370.986 213.174 Keck+LRIS    4X4.0   R_s 0.7   24.84 0.09 
56869.397 463.797 266.504 Keck+LRIS    3X5.0   g   0.8 > 26.9       
56869.397 463.797 266.504 Keck+LRIS    3X5.0   R_s 0.9   26.01 0.22 
56815.559 409.959 235.568 Keck+MOSFIRE 18X23.3 K_s 0.8 > 23.1       
56816.533 410.933 236.128 Keck+MOSFIRE 9X30.6  J   0.7 > 23.5       
