#KAIT	B	V	R	I 
56512.31	13.82 ± 0.03	13.30 ± 0.02	13.26 ± 0.03	13.59 ± 0.03 
56513.32	13.90 ± 0.03	13.34 ± 0.03	13.33 ± 0.02	13.64 ± 0.03 
56514.32	14.01 ± 0.03	13.42 ± 0.03	13.39 ± 0.03	13.69 ± 0.04 
56516.33	14.19 ± 0.03	13.54 ± 0.03	13.50 ± 0.03	13.73 ± 0.03 
56517.32	14.30 ± 0.04	13.60 ± 0.03	13.54 ± 0.03	13.72 ± 0.03 
56518.36	14.39 ± 0.03	13.65 ± 0.02	13.56 ± 0.02	13.72 ± 0.02 
56519.31	14.51 ± 0.03	13.72 ± 0.03	13.60 ± 0.02	13.72 ± 0.02 
56520.34	14.60 ± 0.03	13.75 ± 0.03	13.59 ± 0.02	13.66 ± 0.03 
56521.41	14.74 ± 0.15	13.80 ± 0.11	13.60 ± 0.06	13.62 ± 0.08 
56522.33	14.80 ± 0.03	13.86 ± 0.02	13.63 ± 0.02	13.64 ± 0.02 
56523.25	14.90 ± 0.03	13.89 ± 0.02	13.64 ± 0.02	13.62 ± 0.02 
56524.31	14.96 ± 0.07	13.95 ± 0.05	13.64 ± 0.05	13.57 ± 0.04 
56525.29	15.07 ± 0.04	13.99 ± 0.03	13.68 ± 0.03	13.58 ± 0.03 
56527.35	15.24 ± 0.04	14.09 ± 0.03	13.71 ± 0.03	13.56 ± 0.03 
56528.36	15.32 ± 0.03	14.12 ± 0.02	13.72 ± 0.03	13.54 ± 0.03 
56529.33	15.40 ± 0.03	14.15 ± 0.03	13.74 ± 0.03	13.51 ± 0.03 
56530.33	15.48 ± 0.03	14.22 ± 0.02	13.78 ± 0.02	13.52 ± 0.03 
56531.32	15.54 ± 0.03	14.25 ± 0.03	13.79 ± 0.03	13.50 ± 0.03 
56532.35	15.62 ± 0.03	14.31 ± 0.02	13.84 ± 0.02	13.51 ± 0.02 
56533.30	15.67 ± 0.03	14.35 ± 0.03	13.87 ± 0.03	13.51 ± 0.03 
56534.31	15.73 ± 0.03	14.41 ± 0.02	13.93 ± 0.02	13.55 ± 0.02 
56535.28	15.80 ± 0.03	14.46 ± 0.02	13.98 ± 0.02	13.57 ± 0.03 
56536.26	15.85 ± 0.03	14.50 ± 0.02	14.02 ± 0.02	13.58 ± 0.03 
56537.29	–	14.63 ± 0.10	–	– 
56538.28	–	14.76 ± 0.12	14.09 ± 0.15	13.63 ± 0.09 
56539.28	16.01 ± 0.03	14.69 ± 0.03	14.21 ± 0.03	13.79 ± 0.03 
56540.29	16.00 ± 0.03	14.70 ± 0.02	14.25 ± 0.02	13.85 ± 0.02 
56541.26	16.04 ± 0.04	14.77 ± 0.03	14.34 ± 0.03	13.93 ± 0.03 
56542.28	16.10 ± 0.03	14.83 ± 0.02	14.38 ± 0.02	13.99 ± 0.02 
56543.26	16.13 ± 0.03	14.86 ± 0.02	14.43 ± 0.02	14.04 ± 0.03 
56544.24	16.17 ± 0.03	14.90 ± 0.03	14.47 ± 0.03	14.10 ± 0.03 
56545.26	16.20 ± 0.04	14.94 ± 0.02	14.54 ± 0.02	14.18 ± 0.02 
56546.26	16.19 ± 0.04	14.97 ± 0.02	14.56 ± 0.03	14.22 ± 0.03 
56548.24	16.24 ± 0.03	15.03 ± 0.02	14.64 ± 0.02	14.33 ± 0.02 
56551.26	16.28 ± 0.04	15.13 ± 0.03	14.75 ± 0.03	14.48 ± 0.03 
56553.24	16.38 ± 0.06	15.21 ± 0.03	14.84 ± 0.02	14.60 ± 0.03 
56555.27	16.34 ± 0.05	15.23 ± 0.03	14.88 ± 0.03	14.67 ± 0.03 
56558.23	16.41 ± 0.04	15.32 ± 0.02	14.98 ± 0.02	14.82 ± 0.03 
56561.23	16.49 ± 0.04	15.41 ± 0.02	15.09 ± 0.02	14.98 ± 0.02 
56563.22	16.45 ± 0.03	15.44 ± 0.02	15.14 ± 0.03	15.04 ± 0.03 
56565.22	16.49 ± 0.03	15.50 ± 0.03	15.21 ± 0.03	15.13 ± 0.03 
56567.23	16.54 ± 0.06	15.60 ± 0.03	15.28 ± 0.03	15.23 ± 0.04 
56569.19	16.56 ± 0.05	15.61 ± 0.03	15.37 ± 0.02	15.35 ± 0.03 
56571.20	16.58 ± 0.04	15.67 ± 0.03	15.39 ± 0.03	15.40 ± 0.03 
56573.20	16.59 ± 0.05	15.70 ± 0.03	15.45 ± 0.03	15.49 ± 0.04 
56575.21	16.68 ± 0.05	15.79 ± 0.02	15.52 ± 0.02	15.60 ± 0.03 
56577.20	16.64 ± 0.04	15.81 ± 0.03	15.56 ± 0.03	15.66 ± 0.03 
56579.18	16.69 ± 0.05	15.89 ± 0.03	15.63 ± 0.03	15.73 ± 0.03 
56581.18	16.73 ± 0.06	15.93 ± 0.03	15.71 ± 0.03	15.84 ± 0.04 
56583.19	16.79 ± 0.07	15.96 ± 0.03	15.75 ± 0.03	15.89 ± 0.04 
56585.19	16.81 ± 0.06	16.00 ± 0.03	15.82 ± 0.03	15.98 ± 0.03 
56587.18	16.82 ± 0.04	16.08 ± 0.04	15.88 ± 0.03	16.05 ± 0.04 
56589.18	16.88 ± 0.04	16.11 ± 0.03	15.93 ± 0.03	16.13 ± 0.04 
56592.16	16.91 ± 0.05	16.19 ± 0.04	16.01 ± 0.03	16.24 ± 0.03 
56596.19	17.07 ± 0.05	16.28 ± 0.03	16.15 ± 0.03	16.41 ± 0.04 
56598.14	17.00 ± 0.04	16.32 ± 0.03	16.19 ± 0.03	16.48 ± 0.04 
56600.14	17.02 ± 0.16	16.40 ± 0.12	16.24 ± 0.21	16.88 ± 0.14 
56602.13	17.04 ± 0.04	16.42 ± 0.03	16.32 ± 0.03	16.57 ± 0.04 
56604.13	17.08 ± 0.05	16.49 ± 0.03	16.38 ± 0.03	16.69 ± 0.05 
56606.13	17.14 ± 0.05	16.52 ± 0.04	16.43 ± 0.04	16.73 ± 0.05 
56609.12	17.14 ± 0.07	16.56 ± 0.04	16.49 ± 0.05	16.73 ± 0.06 
56614.14	17.19 ± 0.09	16.65 ± 0.06	16.61 ± 0.05	16.88 ± 0.10 
56618.09	17.29 ± 0.08	16.78 ± 0.04	16.78 ± 0.04	17.11 ± 0.08 
56639.13	17.67 ± 0.02	17.15 ± 0.02	17.33 ± 0.02	17.47 ± 0.04 
56642.13	17.73 ± 0.06	17.24 ± 0.03	17.53 ± 0.08	17.55 ± 0.09 
56644.10	–	17.39 ± 0.12	17.46 ± 0.13	– 
56646.07	–	17.35 ± 0.10	17.45 ± 0.09	– 
56647.10	17.84 ± 0.14	17.38 ± 0.08	17.65 ± 0.11	– 
56656.11	17.92 ± 0.10	17.58 ± 0.07	17.75 ± 0.07	18.00 ± 0.13 
56665.11	18.13 ± 0.13	17.73 ± 0.08	17.92 ± 0.13	18.20 ± 0.18 
56665.12	18.10 ± 0.03	17.65 ± 0.04	18.02 ± 0.05	17.97 ± 0.09 
56667.15	18.13 ± 0.10	17.69 ± 0.06	–	– 
56675.12	18.20 ± 0.02	17.77 ± 0.02	18.15 ± 0.03	18.12 ± 0.05 
56676.10	18.29 ± 0.25	17.85 ± 0.15	18.04 ± 0.18	18.43 ± 0.37 
56678.11	18.26 ± 0.02	17.82 ± 0.02	18.24 ± 0.03	18.13 ± 0.06 
56789.46	20.21 ± 0.28	–	–	– 
56838.39	20.84 ± 0.24	20.22 ± 0.19	21.13 ± 0.59	20.03 ± 0.28 
#RATIR	r	i	Z	Y	J	H 
56491.30	13.86 ± 0.02	13.96 ± 0.02	13.93 ± 0.02	14.15 ± 0.02	14.43 ± 0.05	14.93 ± 0.07 
56498.28	13.01 ± 0.02	13.32 ± 0.02	13.26 ± 0.02	13.66 ± 0.02	13.79 ± 0.05	14.39 ± 0.07 
56501.27	12.89 ± 0.02	13.35 ± 0.02	13.22 ± 0.02	13.89 ± 0.02	–	– 
56503.30	12.90 ± 0.02	13.40 ± 0.02	13.18 ± 0.02	14.10 ± 0.02	14.02 ± 0.05	14.64 ± 0.07 
56504.33	12.88 ± 0.02	13.44 ± 0.02	13.20 ± 0.02	14.20 ± 0.02	14.09 ± 0.05	14.63 ± 0.07 
56505.45	12.93 ± 0.02	13.48 ± 0.02	13.24 ± 0.02	14.29 ± 0.02	14.19 ± 0.05	14.69 ± 0.07 
56506.45	12.95 ± 0.02	13.52 ± 0.02	13.29 ± 0.02	14.35 ± 0.02	14.28 ± 0.05	14.68 ± 0.07 
56508.32	13.03 ± 0.02	13.62 ± 0.02	13.34 ± 0.02	14.45 ± 0.02	14.55 ± 0.05	14.73 ± 0.07 
56509.44	13.09 ± 0.02	13.69 ± 0.02	13.40 ± 0.02	14.51 ± 0.02	–	– 
56510.43	13.12 ± 0.02	13.76 ± 0.02	13.44 ± 0.02	14.54 ± 0.02	14.89 ± 0.05	14.76 ± 0.07 
56511.35	13.21 ± 0.02	13.83 ± 0.02	13.46 ± 0.02	14.57 ± 0.02	15.05 ± 0.05	14.79 ± 0.07 
56512.39	13.30 ± 0.02	13.93 ± 0.02	13.49 ± 0.02	14.57 ± 0.02	15.26 ± 0.05	14.81 ± 0.05 
56516.26	13.53 ± 0.02	14.19 ± 0.02	13.55 ± 0.02	14.49 ± 0.02	15.66 ± 0.05	14.74 ± 0.05 
56517.24	13.56 ± 0.02	14.19 ± 0.02	13.54 ± 0.02	14.44 ± 0.02	15.64 ± 0.05	14.72 ± 0.05 
56519.47	13.63 ± 0.02	14.15 ± 0.02	13.49 ± 0.02	14.31 ± 0.02	15.62 ± 0.05	14.63 ± 0.05 
56521.42	13.66 ± 0.02	14.10 ± 0.02	13.47 ± 0.02	14.17 ± 0.02	15.55 ± 0.05	14.57 ± 0.05 
56522.30	13.67 ± 0.02	14.09 ± 0.02	13.47 ± 0.02	14.12 ± 0.02	15.53 ± 0.05	14.55 ± 0.05 
56535.30	–	14.04 ± 0.02	13.46 ± 0.05	–	–	– 
56541.30	14.39 ± 0.02	14.36 ± 0.02	14.00 ± 0.02	13.62 ± 0.02	15.39 ± 0.05	14.75 ± 0.05 
56545.30	–	–	–	–	–	– 
56552.30	14.82 ± 0.02	14.89 ± 0.02	14.68 ± 0.02	14.25 ± 0.02	16.17 ± 0.05	15.35 ± 0.05 
