GRB,Swift Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90,BAT Fluence (15-150 keV),BAT Photon Index (15-150 keV) (PL = simple power-law),Swift Comments,Redshift,Host Galaxy
151205A,666352,229.291,35.767,62.8,14.0,1.17,UVOT: no detection,-,-
151118A,664078,57.169,65.889,23.4,4.5,1.8,UVOT: no detection,-,-
151112A,663179,2.05,-61.68,19.32,9.4,1.77,"Due to an observing constraint, Swift did not slew until T0+50.8 minutes.|UVOT: no detection",4.1,-
151111A,663074,56.85,-44.154,76.93,17.0,-,UVOT: no detection,3.5,-
151031A,662330,83.189,-39.125,5.0,3.2,2.41,-,1.167,-
151029A,662086,38.537,-35.356,8.95,3.9,-,-,1.423,-
151027B,661869,76.188,-6.428,80.0,15.0,1.83,This is Swift's 1000-th detected burst.,4.063,-
151027A,661775,272.498,61.361,129.69,78.0,1.72,-,0.38,-
151023A,661253,271.012,-8.289,10.66,2.6,2.24,-,-,-
151022A,661036,349.223,55.812,116.7,11.0,1.98,UVOT: no detection,-,-
151021A,660671,337.647,-33.189,110.2,280.0,1.57,-,2.33,-
151006A,657750,147.426,70.508,203.9,69.0,1.56,UVOT: no detection,-,-
151004A,657564,213.613,-64.956,128.4,10.0,1.95,"Due to an observing constraint, Swift did not slew until T0+56.9 minutes.|UVOT: no detection",-,-
151001B,657321,336.974,64.637,109.0,14.0,2.12,-,-,-
151001A,657286,233.722,10.984,8.94,6.7,1.17,-,-,-
150925A,656604,227.538,-19.64,121.0,14.0,2.19,UVOT: no detection,-,-
150915A,655721,319.675,-34.874,164.7,8.0,2.51,UVOT: no detection,1.968,-
150911A,655262,67.428,5.731,7.2,21.0,-,UVOT: no detection,-,-
150910A,655097,5.677,33.466,112.2,48.0,1.42,UVOT: Preliminary detections using the UVOT photometric system show a very rapid and steep rise in the luminosity of the afterglow over the first 1 ks of observation.,1.359,-
150907B,654803,255.265,-63.798,62.0,11.0,-,"Due to an observing constraint, Swift will did slew until T0+49.0 minutes.",-,-
150901A,654042,183.609,25.076,64.0,4.5,2.72,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 00:01 UT on 2015 October 28.|BAT: The 1-s peak photon flux is unconstrained due to the weakness of the burst.",-,-
150831B,653978,271.03,-27.243,6.2,14.0,1.87,"Due to an observing constraint, Swift did not slew until T0+49.6 minutes.|UVOT: no detection",-,-
150821A,652847,341.913,-57.883,172.1,7.9,2.1,-,0.755,-
150819A,652643,42.34,9.787,52.1,4.8,1.72,UVOT: no detection,-,-
150818A,652603,230.34,68.342,123.3,41.0,1.96,-,0.282,-
150817A,652334,249.635,-12.05,38.8,59.0,1.78,UVOT: no detection,-,-
150811A,651882,291.347,-15.434,34.0,4.9,2.13,-,-,-
150801B,650977,82.961,-5.374,426.0,31.0,1.84,UVOT: no detection,-,-
150727A,650530,203.968,-18.32,88.0,37.0,1.14,-,0.313,-
150724A,650141,97.549,-19.147,280.0,22.0,2.06,UVOT: no detection,-,
150722A,649916,218.297,-35.196,67.0,6.1,1.79,"Due to an observing constraint, Swift did not slew until T0+50.9 minutes.|UVOT: no detection",-,-
150720A,649706,119.577,-28.281,151.0,5.6,2.61,"XRT: Given the light curve and spectrum behaviour, we believe that this is a real GRB and not a galactic transient.|UVOT: no detection",-,-
150716A,649157,278.481,-12.978,44.0,15.0,1.54,UVOT: no detection,-,-
150711A,648601,221.624,-35.464,64.2,43.0,1.79,-,-,-
150710B,Ground Analysis|20542,83.191,-46.96,15.0,3.5,-,UVOT: no detection,-,-
150626B,646786,187.627,66.794,48.0,10.0,1.36,UVOT: no detection,-,-
150626A,646603,111.353,-37.803,144.0,18.0,2.11,UVOT: no detection,-,-
150616A,644259,314.713,-53.403,599.5,190.0,-,UVOT: no detection,-,-
150615A,643833,107.554,-22.466,27.6,5.5,1.84,-,-,-
150607A,642620,140.015,68.436,26.3,23.0,-,-,-,-
150530A,642018,327.511,57.519,6.62,18.0,1.49,UVOT: no detection,-,-
150527A,641698,288.962,4.195,112.0,31.0,1.69,UVOT: no detection,-,-
150513A,640584,49.044,-22.868,162.0,54.0,1.4,"Due to a Sun observing constraint, Swift could not slew to the BAT position until 11:32 UT on 2015 May 28.|XRT: no detection",-,-
150430A,639433,326.481,-27.919,107.1,69.0,1.43,UVOT: no detection,-,-
150428B,639278,292.661,4.114,130.9,37.0,-,UVOT: no detection,-,-
150428A,639275,188.539,6.967,53.2,63.0,1.28,UVOT: no detection,-,-
150424A,638946,152.305,-26.646,91.0,15.0,1.23,-,0.0,"r(AB)=26.8, J(AB)=26.1 and H(AB)=25.7 (HST)"
150413A,637899,190.396,71.839,263.6,43.0,1.75,"Due to an observing constraint, Swift did not observe until T0+4 days.|XRT: no detection",3.2,-
150403A,637044,311.505,-62.706,40.9,170.0,1.23,-,2.06,-
150402A,636865|Ground Analysis|20486,173.658,40.992,14.0,-,-,XRT: The uncatalogued X-ray source detected and reported in GCN 17664 shows no fading with respect to previous observations. We therefore conclude that this source is not the X-ray afterglow.,-,-
150323C,636005,192.625,50.165,159.4,13.0,2.09,UVOT: no detection,-,r=23.6 (NOT: possible host)
150323B,635929|Ground Analysis|20485,260.447,38.316,60.0,-,-,BAT: burst detected in ground analysis,-,-
150323A,635887,128.173,45.442,149.6,61.0,1.85,-,0.593,-
150318A,635289,324.99,-61.461,83.88,25.0,2.0,UVOT: no detection,-,-
150317A,635148,138.995,55.477,23.29,6.5,1.52,UVOT: no detection,-,i=22.75 (NOT)
150314A,634795,126.661,63.839,14.79,220.0,1.08,-,1.758,-
150309A,634200,277.004,86.417,242.0,170.0,-,UVOT: no detection,-,-
150302A,633237,175.515,36.852,23.74,2.6,1.69,UVOT: no detection,-,-
150301B,633180,89.159,-57.969,12.44,18.0,1.46,-,1.5169,-
150222A,632180,198.787,-12.151,15.9,22.0,1.61,UVOT: no detection,-,-
150213B,631051,253.448,34.165,181.0,30.0,-,-,-,-
150212A,630876,285.497,47.389,11.4,8.9,1.5,"Due to an observing constraint, Swift did not slew until T0+4.7 minutes. By this time Swift had entered the South Atlantic Anomaly, from which it emerged at 11:26 UT. |UVOT: no detection",-,-
150211A,630714,254.846,55.39,13.6,-,-,"Due to an observing constraint, Swift did not slew until T0+33.7 minutes.|BAT: For spectral data, please see GCN 17445.|UVOT: no detection",-,-
150206A,630019,10.076,-63.181,83.2,139.0,1.33,-,2.087,-
150204A,Ground Analysis|20477,160.241,-64.043,12.0,8.0,1.62,UVOT: no detection,-,-
150203A,629578,98.394,6.952,25.8,9.1,1.9,UVOT: no detection,-,-
150202A,629547,39.261,-33.132,25.7,6.1,1.5,UVOT: no detection,-,-
150201A,629302,11.82,-37.62,26.1,7.8,2.32,UVOT: no detection,-,-
150120B,627170,39.309,8.064,24.3,5.4,2.2,UVOT: no detection,-,-
150110B,624606,289.374,32.529,10.6,4.9,1.89,UVOT: no detection,-,-
150103A,623368,131.674,-48.896,49.1,8.2,-,UVOT: no detection,-,-
141229A,Ground Analysis|20455,-,-,7.0,15.0,1.29,"XRT: With the present uncertainties, a secure identification of the afterglow is not possible.|First reported by MAXI (GCN 17246)",-,-
141225A,622476,138.754,33.774,40.24,25.0,1.32,-,0.915,-
141221A,622006,198.283,8.197,36.9,21.0,1.74,-,1.452,-
141220A,621915,195.058,32.146,7.21,26.0,-,-,1.3195,-
141212B,621234,250.866,31.749,10.5,12.0,1.46,UVOT: no detection,-,-
141130A,620090,222.804,47.323,62.9,28.0,1.56,-,-,-
141121A,619182,122.665,22.206,549.9,53.0,1.73,-,1.47,-
141109B,618032,222.453,73.141,54.2,6.3,1.85,UVOT: no detection,-,-
141109A,618024,144.563,-0.581,200.0,68.0,1.52,-,2.993,-
141031B,617149,356.883,41.355,16.0,2.5,1.36,UVOT: no detection,-,-
141026A,616502,44.049,26.925,146.0,13.0,2.34,UVOT: no detection,3.35,-
141022A,616061,241.93,-72.152,8.72,4.8,1.31,UVOT: no detection,-,-
141020A,615873,225.054,55.328,15.55,4.6,1.74,-,-,-
141017A,615672,93.601,-58.596,55.7,31.0,-,-,-,-
141015A,615399,87.535,18.37,11.0,1.6,1.9,"Due to a Moon observing constraint, Swift did not slew to the BAT position until 15:56 UT on 2014 October 15.|UVOT: no detection",-,-
140927A,613775,291.802,-65.4,6.26,2.7,1.82,-,-,-
140919A,613160,221.54,-32.153,151.3,59.0,1.74,"Due to an observing constraint, Swift did not slew until T0+48.2 minutes.",-,-
140916A,612804,40.384,-39.688,80.1,17.0,2.15,UVOT: no detection,-,-
140907A,611933,48.133,46.596,79.2,43.0,1.72,-,1.21,-
140901B,Ground Analysis|611389,112.184,-29.209,10.0,9.5,1.2,"A Swift TOO request was submitted, but this burst was already 3.5 days old, and moreover is rather close to the Sun.|XRT: no detection",-,-
140828A,610953,142.029,14.569,18.8,13.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 22:33 UT on 2014 September 29.",-,-
140818B,609885,271.168,-1.354,18.1,5.4,1.99,-,-,-
140817A,609736,127.244,58.191,244.0,46.0,1.48,-,-,-
140730A,607742,56.35,-66.58,41.3,2.8,2.5,UVOT: no detection,-,-
140719B,605700,39.731,-2.384,53.0,13.0,1.8,"Due to a Moon observing constraint, Swift did not slew to the BAT position until 2014 July 21.|XRT: no detection",-,-
140719A,605612,171.571,-50.115,48.0,4.3,1.9,UVOT: no detection,-,-
140716A,604792|Ground Analysis,108.133,-60.15,104.0,59.0,1.61,UVOT: no detection,-,-
140713A,604232,281.141,59.623,5.3,3.7,1.84,UVOT: no detection,-,"potential host, m_AB~24 (GTC)"
140706A,603587,49.269,-38.058,48.3,20.0,1.8,-,-,-
140703A,603243,13.01,45.102,67.1,39.0,1.74,-,3.14,-
140629A,602884,249.017,41.897,42.0,24.0,1.86,-,2.275,-
140628A,602803,40.672,-0.378,10.5,13.0,1.56,-,-,-
140626A,602604,77.163,-82.625,16.4,3.6,-,UVOT: no detection,-,-
140619A,602080,27.096,-39.249,233.9,210.0,-,-,-,-
140614B,601662,322.636,14.895,49.8,5.5,2.04,UVOT: no detection,-,-
140614A,601646,231.171,-79.11,720.0,13.0,1.5,UVOT: no detection,4.233,-
140607A,601051,86.373,18.904,109.9,22.0,1.78,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 22:00 UT on 2014 August 05.",-,-
140521A,599546,320.177,67.587,9.88,9.5,1.42,"Due to an observing constraint, Swift will not slew until 00:39 UT on May 22.",-,-
140518A,599287,227.231,42.396,60.5,10.0,-,UVOT: no detection,4.707,-
140515A,599037,186.071,15.099,23.4,5.9,-,UVOT: no detection,6.32,-
140512A,598819,289.366,-15.087,154.8,140.0,1.45,-,0.725,-
140509A,598497,46.564,-62.662,23.2,12.0,1.59,-,-,-
140506A,598284,276.806,-55.556,111.1,28.0,1.68,-,0.889,-
140502A,597841,319.172,48.975,16.9,6.7,1.22,UVOT: no detection,-,-
140430A,597722,102.942,23.033,173.6,11.0,2.0,-,1.6,-
140428A,597519,194.365,28.331,17.42,3.4,1.54,UVOT: no detection,0.0,-
140423A,596901,197.276,49.838,134.0,94.0,1.33,"Due to an observing constraint, Swift did not slew until T0+47.2 minutes.",3.26,-
140419A,596426,127.001,46.234,94.7,160.0,1.21,-,3.956,-
140413A,595616,65.439,-51.188,139.6,94.0,1.49,"Due to an observing constraint, Swift did not slew until T0+33.6 minutes.",-,-
140412A,595608,145.032,-65.826,39.6,7.2,1.95,UVOT: no detection,-,-
140331A,594081,134.86,2.755,209.0,6.7,2.01,UVOT: no detections,-,-
140323A,592916,356.975,-79.916,104.9,160.0,-,UVOT: no detection,-,-
140318A,592204,184.049,20.225,8.43,2.9,1.35,UVOT: no detection,1.02,-
140311B,591392,252.333,52.733,70.0,-,1.12,"Due to an observing constraint, Swift did not slew until T0+55 minutes.|UVOT: no detection",-,-
140311A,591390,209.293,0.607,71.4,23.0,1.67,"Due to an observing constraint, Swift did not slew until T0+50.6 minutes|UVOT: no detection",4.95,-
140305A,590446,344.497,15.448,13.7,4.7,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 16:35 UT on 2014 April 25.",-,-
140304A,590206,30.653,33.48,15.6,12.0,1.29,This GRB will enter a Moon observing constraint around 20:00 UT and will not be observable again by Swift until March 6 (Thursday) around 05:30 UT. |UVOT: no detection,5.283,-
140302A,589685,253.862,-12.875,87.5,27.0,1.09,UVOT: no detection,-,-
140301A,589590,69.521,-34.249,31.0,4.4,1.96,UVOT: no detection,1.416,-
140215A,586680,104.129,41.787,84.2,78.0,1.19,-,-,-
140213A,586569,105.166,-73.136,60.0,120.0,1.8,"Due to an observing constraint, Swift did not slew until T0+54.8 minutes.",1.2076,-
140211A,586289,124.233,20.237,89.4,18.0,2.1,"Due to a Moon observing constraint, Swift did not slew to the BAT position until 20:04 UT on 2014 February 14.|UVOT: no detection",-,-
140209A,586071,81.328,32.488,21.3,41.0,1.44,"Due to a Moon observing constraint, Swift did not slew to the BAT position until 04:37 UT on 2014 February 11.|UVOT: no detection",-,-
140206A,585834,145.321,66.762,93.6,160.0,-,-,2.73,-
140118A,584136,330.999,-17.937,84.15,26.0,1.87,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 07:34 UT on 2014 April 03.",-,-
140114A,583861,188.498,27.942,139.7,32.0,2.06,-,-,-
140108A,583338,325.129,58.749,94.0,70.0,1.62,-,-,-
140103A,582773,232.114,37.752,17.3,6.0,2.6,UVOT: no detection,-,-
140102A,582760,211.915,1.332,65.0,77.0,1.38,-,-,-
131229A,582374,85.236,-4.401,13.86,66.0,1.02,UVOT: no detection,-,-
131227A,582184,67.369,28.879,18.0,8.4,1.36,UVOT: no detection,-,-
131226A,582123,301.309,-64.943,7.2,40.0,1.38,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 2014 January 27. There will thus be no XRT or UVOT data for this trigger.",-,-
131205A,580267,131.573,-60.181,37.5,2.9,1.57,UVOT: no detection,-,-
131202A,579982,344.005,-21.65,30.4,6.1,1.58,UVOT: no detection,-,-
131127A,579571,332.714,36.596,92.1,19.0,2.34,UVOT: no detection,-,-
131120A,578227,278.937,-12.026,131.0,5.7,2.94,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 15:39 UT on 2014 February 13. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
131117A,577968,332.354,-31.761,11.0,2.5,-,-,4.18,-
131110A,Ground Analysis,69.268,-17.259,100.0,35.3,1.61,XRT: no detection|UVOT: no detection,-,-
131105A,576738,70.973,-63.005,112.3,71.0,1.45,-,1.686,-
131103A,576562,348.948,-44.645,17.3,8.2,1.97,-,0.599,"R=20.07 (NOT)|R=20.48, J=19.63 (VLT)"
131024B,575754,144.464,44.284,64.0,12.0,0.85,UVOT: no detection,-,-
131024A,575707,290.544,-64.599,112.0,12.0,1.85,UVOT: no detection,-,-
131018A,574935,98.473,-19.897,73.22,11.0,2.24,UVOT: no detection,-,-
131002B,572742,75.135,-75.701,39.1,6.2,-,UVOT: no detection,-,-
131002A,572721,253.103,82.036,55.59,6.4,1.63,-,-,-
130929A,572308,135.028,-47.554,11.1,6.9,2.0,UVOT: no detection,-,-
130919A,571271,207.281,-10.353,97.3,14.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 23:23 UT on 2013 December 7.",-,-
130907A,569992,215.898,45.602,360.0,1400.0,1.17,-,1.238,-
130831B,568855,192.454,-29.187,37.8,14.0,1.88,UVOT: no detection,-,-
130831A,568849,358.635,29.431,32.5,65.0,1.93,-,0.4791,-
130829A,568417,182.426,46.52,42.56,12.0,1.36,"Due to an observing constraint, Swift XRT or UVOT cannot observe this region until September 24th, 2013.",-,-
130816B,566561,170.049,-57.527,10.0,2.7,-,UVOT: no detection,-,-
130816A,566545,197.093,-58.996,29.97,4.3,1.86,UVOT: no detection,-,-
130812A,566228,92.387,-13.285,7.6,5.9,2.52,UVOT: no detection,-,-
130806A,565562,35.907,67.525,6.1,1.7,2.5,BAT: the burst can be classified as an X-ray flash (see GCN 15076)|UVOT: no detection,-,-
130803A,565263,220.256,-2.499,44.0,15.0,1.69,UVOT: no detection,-,MPG/ESO
130727A,564342,330.79,-65.54,13.57,38.0,1.65,"Due to an observing constraint, Swift did not slew until T0+49.6 minutes.",-,-
130725B,564028,214.233,-11.124,10.0,3.9,2.23,-,-,-
130725A,563980,230.06,0.624,101.8,9.7,1.6,This burst was not identified in real-time due to telemetry gaps.|UVOT: no detection,-,-
130719A,562625,89.038,-11.591,177.7,23.0,1.63,"Due to the Sun constraint, XRT and UVOT will not be able to observe the burst location until July 26.",-,-
130708A,Ground Analysis|560515,17.474,0.003,9.0,78.0,-,XRT: no detection|UVOT: no detection,-,-
130627B,559139,181.914,-55.706,28.6,6.1,-,"Due to an observing constraint, Swift did not slew until T0+48.4 minutes.|XRT: Swift performed a second epoch observation and the X-ray object reported by is no longer detected, therefore confirming that this object was the afterglow|UVOT: no detection",-,-
130627A,559132,184.415,-37.114,30.8,9.1,1.84,"Due to an observing constraint, Swift did not slew until T0+46.0 minutes|UVOT: no detection",-,-
130625A,558982,343.336,82.171,38.1,18.0,1.37,UVOT: no detection,-,-
130623A,Ground Analysis,20.723,-77.784,15.0,5.4,1.8,"XRT: The source reported seems to have faded, suggesting that it may be the X-ray afterglow.|UVOT: no detection",-,-
130615A,558271,274.963,-68.161,304.0,21.0,-,UVOT: no detection,-,-
130610A,557845,224.414,28.187,46.4,25.0,1.27,-,2.092,-
130609B,557828,53.776,-40.168,210.6,160.0,1.32,-,-,-
130609A,557782,152.68,24.124,7.0,5.7,1.88,UVOT: no detection,-,-
130608A,557771,24.597,41.492,151.38,9.0,2.71,UVOT: no detection,-,-
130606A,557589,249.39,29.796,276.58,29.0,1.52,UVOT: no detection,5.91,-
130605A,557508,134.536,-33.477,12.6,26.0,1.58,No prompt event mode data were available as Swift entered the SAA shortly after the burst was detected.,-,-
130604A,557354,250.166,68.225,37.7,14.0,1.51,UVOT: no detection,1.06,-
130603A,557274,86.859,82.91,76.0,19.0,1.83,"Due to an observing constraint, Swift did not slew until T0+49.7 minutes.",-,-
130529A,556930,24.274,-64.143,128.0,14.0,1.56,UVOT: no detection,-,-
130528A,556870,139.405,87.3,59.4,51.0,-,UVOT: no detection,-,-
130527A,556753,309.282,-24.726,44.0,120.0,1.25,UVOT: no detection,-,-
130521A,556344,87.568,14.47,11.0,4.2,2.11,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 05:50 UT on 2013 August 06.",-,-
130514A,555821,296.278,-7.974,204.0,91.0,1.8,UVOT: no detection,3.6,-
130511A,555600,196.654,18.709,5.43,2.2,1.35,-,1.3033,-
130508A,555413,305.351,34.966,42.0,6.6,1.8,"Even though this is a weak detection and it is on the Galactic Plane (lon,lat= 74,-1), we determine that this is probably a GRB, but can not rule out some other type of astrophysical source.  We will need the full data set to make the determination.|UVOT: no detection",-,-
130505A,555163,137.06,17.485,88.0,210.0,1.18,-,2.27,-
130504A,555096,272.459,-16.32,50.0,10.0,-,UVOT: no detection,-,-
130427B,554635,314.9,-22.548,27.0,15.0,1.64,-,2.78,-
130427A,554620,173.15,27.706,162.83,3100.0,1.21,This is an extremely bright burst in all three instruments.,0.34,"Irregular galaxy, with a broadly elliptical shape (William Herschel)."
130420B,553996,183.095,54.376,10.2,6.0,-,UVOT: no detection,-,-
130420A,553977,196.118,59.421,123.5,71.0,-,-,1.297,-
130419A,553918,355.278,9.9,75.7,7.8,1.43,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 00:33 UT on 2013 May 06. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
130418A,553847,149.045,13.674,300.0,18.0,2.07,-,1.218,-
130408A,553132,134.398,-32.363,28.0,23.0,1.28,-,3.758,-
130327A,552063,91.984,55.732,9.0,2.3,2.26,UVOT: no detection,-,-
130315A,551126,157.541,-51.794,233.4,49.0,1.81,UVOT: no detection,-,-
130216A,548927,67.901,14.67,6.5,30.0,-,"Due to a Moon observing constraint, Swift could not slew to the BAT position until 13:16 UT on 2013 February 20.|XRT: No X-ray afterglow is detected inside the refined BAT error circle.|UVIT: no detection",-,-
130215A,548760,43.486,13.387,65.7,54.0,1.59,"Due to a Moon observing constraint, Swift could not slew to the BAT position, thus there are no XRT or UVOT data for this trigger.",0.597,-
130211A,548276,147.524,-42.33,25.1,6.4,1.81,UVOT: no detection,-,-
130206A,547918,140.387,-58.193,128.0,20.0,1.56,"Due to an observing constraint, Swift will did slew until T0+48.5 minutes.",-,-
130131A,547407,171.091,48.064,51.6,3.1,2.12,UVOT: no detection,-,-
130122A,546731,194.307,59.003,64.0,7.4,1.34,-,-,-
130102A,544784,311.435,49.838,77.5,7.2,1.39,-,-,-
121217A,542441,153.708,-62.354,778.0,62.0,1.53,-,-,-
121212A,541371,177.787,78.052,6.8,1.2,2.65,-,-,-
121211A,541200,195.575,30.173,182.0,13.0,2.36,-,1.023,-
121209A,540964,326.8,-8.232,42.7,29.0,1.43,UVOT: no detection,-,"I = 23.2 (Keck I, possible host)"
121202A,540255,256.79,23.942,20.1,12.0,1.59,"Due to an observing constraint, Swift did not slew until T0+44.1 minutes.|UVOT: no detection",-,-
121201A,540178,13.473,-42.929,85.0,7.8,1.9,-,3.385,-
121128A,539866,300.589,54.301,23.3,69.0,1.32,-,2.2,-
121125A,539563,228.519,55.318,52.2,47.0,1.52,-,-,-
121123A,539358,307.334,-11.873,317.0,150.0,-,-,-,-
121117A,538696,31.617,7.432,30.0,14.0,1.16,This burst occurred as the Swift spacecraft was approaching the South Atlantic Anomaly and the source was approaching the Earth Limb observing constraint.,-,-
121108A,537921,83.216,54.52,89.0,9.6,2.28,UVOT: no detection,-,-
121102A,537266,270.896,-16.951,24.7,19.0,1.88,"This event has all appearances of a GRB: hard BAT spectrum, bright XRT initial detection and fading.  Still, we note that the galactic coordinates are l=12 deg, b=2.5 deg, consistent with a galactic origin.  We believe it is a GRB, but can not rule out a new galactic transient.|UVOT: no detection",-,-
121031A,537195,170.772,-3.513,226.0,78.0,1.5,UVOT: no detection,-,-
121027A,536831,63.598,-58.839,62.6,20.0,1.82,UVOT: Possible Detection,1.773,-
121024A,536580,70.481,-12.255,69.0,11.0,1.41,-,2.298,-
121014A,535960,166.645,-29.105,80.0,11.0,1.91,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 05:22 UT on 2012 October 30.",-,-
121011A,535764,260.204,41.123,75.6,27.0,-,-,-,-
121001A,535026,276.029,-5.667,147.0,17.0,1.34,UVOT: no detection,-,-
120927A,534815,136.606,0.42,43.0,26.0,-,UVOT: no detection,-,-
120923A,534402,303.781,6.255,27.2,3.2,-,UVOT: no detection,-,-
120922A,534394,234.758,-20.181,173.0,62.0,-,-,3.1,-
120918A,534015,181.042,-32.762,25.1,37.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 17:37 UT on 2012 November 15.",-,-
120913B,533613,213.66,-14.508,126.0,111.0,1.63,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 20:57 UT on 2012 December 14.",-,-
